OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR001,"76 and 76a Kent Road, Blackpool, FY1 5ET",53.809608,-3.047988,https://maps.blackpool.gov.uk/brownfield/,0.109622575,not owned by a public authority,not permissioned,,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60116,,9,11,,Assumed density range 80 to 100 dph reflecting inner area location & assuming 100% developable area due to site size.,2017-12-15,2019-11-20,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR002,"7-11 Alfred Street, Blackpool, FY1 4LH",53.817481,-3.048737,https://maps.blackpool.gov.uk/brownfield/,0.043125763,not owned by a public authority,permissioned,outline planning permission,2017-02-24,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_60930,yes,0,0,,,2017-12-15,2017-12-15,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR003,"Tram Depot, Rigby Road, Blackpool, FY1 5DD",53.806643,-3.05166,https://maps.blackpool.gov.uk/brownfield/,2.610607375,owned by a public authority,not permissioned,,,,,100,183,,Site is in 2014 SHLAA. Currently in use by Blackpool Transport. Assumed density range up to 100 dph reflecting inner area location & assuming 70% developable area due to size of site.,2017-12-15,2018-12-13,2019-11-20
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR004,"""Former Revills Hotel, 190-194 Promenade, Blackpool, FY1 1RJ",53.821627,-3.054701,https://maps.blackpool.gov.uk/brownfield/,0.116166998,not owned by a public authority,not permissioned,,,,,10,15,,Site is in 2014 SHLAA. Density maximum reflects withdrawn application 11/0056 for 15 flats. Density minimum equates to 80 dph reflecting inner area location & assuming 100% developable area due to site size. Site is in use as a car park.,2017-12-15,2019-11-20,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR005,"Land at Coleridge Road/George Street, Blackpool, FY1 3RP",53.823605,-3.040363,https://maps.blackpool.gov.uk/brownfield/,0.136030241,not owned by a public authority,not permissioned,,,,,11,14,,Site is in 2014 SHLAA. Site is vacant and has been cleared. Assumed density range 80 - 100 dph reflecting inner area location & assuming 100% developable area due to site size.,2017-12-15,2017-12-15,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR006,"50 Bispham Road, Blackpool, FY2 0SX",53.836554,-3.030404,https://maps.blackpool.gov.uk/brownfield/,0.090475148,not owned by a public authority,permissioned,full planning permission,2017-08-31,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61569,yes,0,0,,,2017-12-15,2017-12-15,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR007,"Former filling Station, Norbreck Castle, Blackpool, FY2 9AB",53.859272,-3.049057,https://maps.blackpool.gov.uk/brownfield/,0.144858936,not owned by a public authority,not permissioned,,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_59443,,6,15,,Site is in 2014 SHLAA. Density maximum reflects expired application 15/002 for 15 flats. Density minimum equates to 40 dph reflecting outer area location & assuming 100% developable area due to site size.,2017-12-15,2019-11-20,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR008,"Former Mariners Public House, 8 Norbreck Road, Blackpool, FY5 1RP",53.856942,-3.049007,https://maps.blackpool.gov.uk/brownfield/,0.198363533,not owned by a public authority,not permissioned,,,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_56682,,5,35,,Site is in 2014 SHLAA. Density maximum reflects withdrawn application 11/0967 for for 35 flats. Density minimum equates to 40 dph reflecting outer area location & assuming 100% developable area due to site size. Site is vacant and has been cleared.,2017-12-15,2019-11-20,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR009,"Land at Station Road/Lytham Road, Blackpool, FY4 1EU",53.795852,-3.050645,https://maps.blackpool.gov.uk/brownfield/,0.133533531,not owned by a public authority,not permissioned,,,,,10,13,,Site is in 2014 SHLAA. Site is vacant and has been cleared. Assumed density range 80 - 100 dph reflecting inner area location.,2017-12-15,2017-12-15,2019-11-20
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR010,"Land at former Hawes Side Clinic, Hawes Side Lane, Blackpool, FY4 5AJ",53.790548,-3.027995,https://maps.blackpool.gov.uk/brownfield/,0.171963036,owned by a public authority,permissioned,reserved matters approval,2017-03-23,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61200,yes,0,0,,,2017-12-15,2017-12-15,2019-11-20
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR011,"585 - 593 Promenade & 1 Wimbourne Place, Blackpool,  FY4 1NQ",53.785987,-3.057271,https://maps.blackpool.gov.uk/brownfield/,0.367341216,not owned by a public authority,permissioned,outline planning permission,2017-05-10,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61323,yes,0,0,,,2017-12-15,2017-12-15,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR012,"Hoyle House, Argosy Avenue, Blackpool, FY3 7NN",53.833316,-3.021891,https://maps.blackpool.gov.uk/brownfield/,0.360766928,owned by a public authority,permissioned,full planning permission,2017-12-13,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_61720,yes,0,0,,Dwellings proposed are social rented housing.,2017-12-15,2018-12-13,2019-11-20
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR013,"Anchorsholme Methodist Church, North Drive, Blackpool, FY5 3PG",53.870625,-3.033303,https://maps.blackpool.gov.uk/brownfield/,0.121591547,not owned by a public authority,permissioned,outline planning permission,2015-05-21,http://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_BLCKP_DCAPR_59366,yes,0,0,,,2017-12-15,2017-12-15,2019-11-20
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR014,"Kings Christian Centre, Warley Road, Blackpool, FY1 2JU",53.830924,-3.054228,https://maps.blackpool.gov.uk/brownfield/,0.121305118,not owned by a public authority,permissioned,reserved matters approval,2018-11-02,https://idoxpa.blackpool.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_BLCKP_DCAPR_62601,yes,0,0,,,2017-12-15,2019-11-20,
http://opendatacommunities.org/id/geography/administration/ua/E06000009,BR015,"Land off Hoo Hill Lane, Blackpool, FY3 7HJ",53.833259,-3.03154,https://maps.blackpool.gov.uk/brownfield/,0.243767981,not owned by a public authority,not permissioned,,,,,10,12,,Assumed density range 40 - 50 dph reflecting outer area location.,2018-12-13,2018-12-13,2019-11-20
