OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Total area (Hectares),OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S4127/PDO,,"Building 1 (DAF Trucks) Kingsmead Business Park Howland Road Thame, OX9 3FB",http://www.southoxon.gov.uk/sites/default/files/P17_S4127_PDO-V2.pdf,OSGB36,472005,205232,1.14,not owned by a public authority,yes,permissioned,other,2018-01-17 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S4127/PDO,,45,Change of use from offices (Class B1) to residential (Class C3) to comprise 45 flats with ancillary facilities and parking.,,,45,45,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S4127/PDO,,2018-12-03,2018-12-21
http://opendatacommunities.org/doc/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S1865/FUL,,The Railway Hotel24 Station RoadWheatley  OX33 1ST,http://www.southoxon.gov.uk/sites/default/files/P17_S1865_FUL-V2.pdf,OSGB36,459479,205647,0.26,not owned by a public authority,yes,permissioned,full planning permission,2018-03-23 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S1865/FUL,,15,"Demolition of the former Railway Inn and the creation of 16 retirement dwellings for people aged 55 and over, repositioning of vehicular and pedestrian access into the site and associated open space and landscaping.",,,15,15,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S1865/FUL,,2018-12-03,2018-12-21
http://opendatacommunities.org/doc/district-council/south-oxfordshire,South Oxfordshire District Council,P17/S3501/FUL,,69 - 71 Peppard Road Sonning Common  RG4 9RN,http://www.southoxon.gov.uk/sites/default/files/P17_S3501_FUL.pdf,OSGB36,471138,180365,0.17,not owned by a public authority,yes,permissioned,full planning permission,2018-02-16 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3501/FUL,,6,"Demolition of existing dwellings and erection of three pairs of semi-detached dwellings (2 x 2-bedroom, 2 x 3-bedroom, 2 x 4-bedroom) and two 3-bay carports and formation of new vehicular access (number of dwellings reduced, layout and design altered as shown on amended plans received 18th January 2018)",,,6,6,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P17/S3501/FUL,,2018-12-03,2018-12-21
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P12/S1424/FUL,,Townlands Hospital York Road HENLEY-ON-THAMES RG9 2EB,http://www.southoxon.gov.uk/sites/default/files/P12S1424FUL_Townlands%20Hospital.pdf,OSGB36,475747,182795,2.4,not owned by a public authority,yes,permissioned,full planning permission,2013-03-19 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P12/S1424/FUL,,97,"Proposed health and social well being campus comprising conversion and demolition of existing hospital buildings, structures and walls, and redevelopment of the site to provide replacement 18 bed community hospital, 12 bed palliative care facility, 64 no.bed care home, 45 assisted living units and key worker apartments",,,97,97,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P12/S1424/FUL,"The amended scheme (P15/S2956/FUL) results in an additional assisted unit, therefore the proposal includes a 64 bed care home, 34 assisted living units and 12 key worker apartments which totals 110 units overall. However, a care home (Use Class C2) is calculated as 80% of the total (therefore 0.8*64=51). Therefore the overall capacity is 46+51=97.",2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P15/S1880/O
(SHELAA: 184)",,Didcot A,http://www.southoxon.gov.uk/sites/default/files/P15S1880O_Didcot%20A.pdf,OSGB36,451174,191220,9.7,not owned by a public authority,yes,pending decision,outline planning permission,Resolution to grant permission at committee: 10 August 2016,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S1880/O,,280,Mixed use redevelopment comprising up to 400 dwellings (120 of which are in Vale of White Horse),,,280,400,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S1880/O,Minimum net dwellings is based on the planning application(P15/S1880/O) as it has a resolution to grant permission. Only the dwellings within South Oxfordshire have been included in the total.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P15/S2685/FUL,,"Woodcote NDP Site 16: Former Reservoir site, Greenmore",http://www.southoxon.gov.uk/sites/default/files/P15S2685FUL_Woodcote%20NDP%20Site%2016.pdf,OSGB36,464704,181342,0.45,not owned by a public authority,yes,permissioned,full planning permission,2017-05-03 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2685/FUL,,20,"Erection of 20 new dwellings and formation of new access, driveway and parking including the demolition of the pump house",,,20,20,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P15/S2685/FUL,Partially Brownfield site. Forms part of a larger site overall.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S0375/FUL,,"Woodcote NDP Site 02: Woodcote Garden Centre, Reading Road",http://www.southoxon.gov.uk/sites/default/files/P16S0375FUL_Woodcote%20NDP%20Site%2002.pdf,OSGB36,464903,182152,0.24,not owned by a public authority,yes,permissioned,full planning permission,2017-06-29 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,,9,Demolition of existing garden centre structures and erection of 9 new dwellings,,,9,9,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S0375/FUL,Partially Brownfield site. Forms part of a larger site overall.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S1227/FUL,,JHHNDP Site U: Wilkins Yard Deanfield Avenue HENLEY-ON-THAMES Oxon RG9 1UE,http://www.southoxon.gov.uk/sites/default/files/P16S1227FUL_JHHNDP%20Site%20U.pdf,OSGB36,475799,182380,0.23,not owned by a public authority,yes,permissioned,full planning permission,2017-05-30 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1227/FUL,,23,Demolition of existing depository and offices and erection of 14 open market and 9 affordable flats,,,23,23,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S1227/FUL,Partially Brownfield site. Forms part of a larger site overall.,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,"P16/S3922/FUL
(SHELAA 200)",,"Atalanta Garage, Beggars bush Hill, Benson  OX10 6PL",http://www.southoxon.gov.uk/sites/default/files/P16S3922FUL_Atalanta%20Garage.pdf,OSGB36,463953,190162,0.33,not owned by a public authority,yes,permissioned,full planning permission,2017-04-28 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3922/FUL,,6,"Demolition of garages, workshops and offices and replaced with six dwellings with car parking",,,6,6,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S3922/FUL,,2017-12-22,2017-12-22
http://opendatacommunities.org/id/district-council/south-oxfordshire,South Oxfordshire District Council,P16/S4117/FUL,,"40 Oakley Road, Chinnor, Oxon, OX39 4ES",http://www.southoxon.gov.uk/sites/default/files/P16S4117FUL_40%20Oakley%20Road.pdf,OSGB36,475084,200556,0.18,not owned by a public authority,yes,permissioned,full planning permission,2017-04-03 00:00:00,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4117/FUL,,6,Convert the existing roof void to create six new flats,,,6,20,,http://maps.southoxon.gov.uk/gis/?cat=PA&ref=P16/S4117/FUL,The minimum number of net dwellings is 20 as it is based on both a prior approval and a permission. The prior approval relates to the change of use of the building to 14 apartments (P16/S4085/PDO) and the permission relates to the conversion of the roof into six flats (P16/S4117/FUL). The two schemes can both be built out on the site.,2017-12-22,2017-12-22
