ORGANISATIONURI,ORGANISATIONLABEL,SITEREFERENCE,PREVIOUSLYPARTOF,SITENAMEADDRESS,SITEPLANURL,COORDINATEREFERENCESYSTEM,GEOX,GEOY,HECTARES,OWNERSHIPSTATUS,DELIVERABLE,PLANNINGSTATUS,PERMISSIONTYPE,PERMISSIONDATE,PLANNINGHISTORY,PROPOSEDFORPIP,MINNETDWELLINGS,DEVELOPMENTDESCRIPTION,NONHOUSINGDEVELOPMENT,PART2,NETDWELLINGSRANGEFROM,NETDWELLINGSRANGETO,HAZARDOUSSUBSTANCES,SITEINFORMATION,NOTES,FIRSTADDEDDATE,LASTUPDATEDDATE,MORE_INFORMATION
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR001,,"""Site of Box Trees Mill, Boy Lane, Wheatley, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR001,ETRS89,-1.899168498,53.73935659,0.99,not owned by a public authority,yes,permissioned,full planning permission,2013-11-06,,,87,Construction of 87 residential dwellings,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR004,,"""The Ranch, New Road, Holywell Green, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR004,ETRS89,-1.866102715,53.66324539,0.42,not owned by a public authority,yes,permissioned,full planning permission,2016-12-05,,,2,Conversion of industrial buildings to 2 dwellings. Construction of stable block and menage.,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR006,,"""467-475 Elland Road, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR006,ETRS89,-1.818557777,53.69843764,0.23,not owned by a public authority,yes,permissioned,full planning permission,2014-08-19,,,10,Proposed ten houses on site of previously approved building,,,,,,,Amendment approved 15/01439/FUL 2016,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR008,,"""Land At Whitehouse Farm, Holmfield, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR008,ETRS89,-1.877448651,53.75823809,0.67,not owned by a public authority,yes,permissioned,reserved matters approval,2017-06-29,,,23,Construction of 23 dwellings (REM pursant to 14/00058/OUT),,,,,,,pursuant to 14/00058/OUT,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR009,,"""Jubilee Works, Jubilee Street North, Ovenden, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR009,ETRS89,-1.878720937,53.74332315,0.08,not owned by a public authority,yes,permissioned,full planning permission,2015-11-09,,,6,Formation of 6 new dwellings,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR014,,"""Site of Scar Bottom Mill, Scar Bottom Lane, Greetland, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR014,ETRS89,-1.886231929,53.68790313,0.17,not owned by a public authority,,permissioned,full planning permission,2011-07-20,,,6,Residential development of six dwellings (Amended part scheme relating to 00/00916/FUL),,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR015,,"""Victoria Works, Dean Street, West Vale, Elland""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR015,ETRS89,-1.857352126,53.68565838,0.07,not owned by a public authority,yes,permissioned,full planning permission,2015-11-18,,,7,Residential development of seven dwellings,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR017,,"""Baxter Lane Works, Baxter Lane, Northowram, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR017,ETRS89,-1.833542739,53.74043603,0.05,not owned by a public authority,yes,permissioned,full planning permission,2014-03-04,,,5,Conversion of disused Engineering Works to form 5 dwellings and extension to South elevation,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR018,,"""Wheatley Wells Inn, 106-112 Wheatley Road, Wheatley, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR018,ETRS89,-1.885726591,53.73585046,0.02,not owned by a public authority,yes,permissioned,full planning permission,2013-06-28,,,5,Conversion of former public house to form 5 dwellings,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR019,,"""8-12 Cross Hills, Halifax""",https://maps.calderdale.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CScripts%5CBrownfield%20Land%20Register%202018.AuroraScript%24&nocache=b3a8172e-c974-a20b-e60c-877a0098b807&resize=always&inspect_query=BLR2017&inspect_value=BLR019,ETRS89,-1.860334686,53.7268851,0.02,not owned by a public authority,yes,permissioned,full planning permission,2014-01-28,,,27,Conversion of former restaurant to 27 bedsits and construction of stairway,,,,,,,,2017-12-20,2018-12-31,https://www.calderdale.gov.uk/v2/residents/environment-planning-and-building/planning/planning-policy/evidence-base/homes#Brownfield
