OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Source
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,44,,"Central Parade West, Central Parade",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3410013172,-0.0159173557,2.07,owned by a public authority,yes,not permissioned,,,,,50,"Mixed development including residential, community, healthcare facility, leisure, retail and open space",,,50,290.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,68,,130 Oval Road,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3771023449,-0.0886335726,0.22,not owned by a public authority,yes,not permissioned,,,,,10,Residential development,,,10,57.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,78,,114-118 Whitehorse Road,http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3865338243,-0.0962461586,0.04,not owned by a public authority,yes,not permissioned,,,,,7,Residential conversion and extension,,,7,8.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,314,,"Valley Park (B&Q and Units A-G Daniell Way), Hesterman Way",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3801883003,-0.1254798193,6.75,not owned by a public authority,,not permissioned,,,,,237,"Redevelopment of this area to a mixture of residential, retail, healthcare facility (if required by the NHS), community and leisure to form the basis of a new residential community and local centre.",,,237,641.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,334,,"Valley Leisure Park, Hesterman Way",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3779257554,-0.1245807702,0.95,not owned by a public authority,,not permissioned,,,,,34,"Redevelopment of this area to a mixture of residential, retail, healthcare facility (if required by the NHS), community and leisure to form the basis of a new residential community and local centre.",,,34,90.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,337,,"Zodiac Court, 161-183 London Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3817528095,-0.1069926724,0.71,not owned by a public authority,,not permissioned,,,,,32,Residential redevelopment,,,32,184.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,348,,"Homebase & Matalan stores, 60-66 Purley Way",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3834478605,-0.1229322548,2.84,not owned by a public authority,,not permissioned,,,,,128,Mixed use residential and retail development,,,128,482.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,396,,"Praise House, 145-149 London Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3810888406,-0.1059710208,0.25,not owned by a public authority,,not permissioned,,,,,9,Redevelopment for mixed use residential and community use,,,9,52.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,416,,"Challenge House, 618 Mitcham Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3892271554,-0.1294940186,0.8,not owned by a public authority,,not permissioned,,,,,36,Residential redevelopment or conversion. Conversion would need to adhere to Local Plan and London Plan Standards to improve the sustainability of the development.,,,36,136.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,471,,"Masonic Hall car park, 1- 1B Stanton Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3821252255,-0.1016600932,0.15,not owned by a public authority,,not permissioned,,,,,7,Residential development,,,7,39.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
http://opendatacommunities.org/id/london-borough-council/croydon,Croydon Council,945,,"Waitrose, 110-112 Brighton Road",http://www.planvu.co.uk/croydon2016/index.php?map=proposed,ETRS89,51.3219659734,-0.1371829252,0.265,not owned by a public authority,yes,not permissioned,,,,,55,"Residential, retail, car parking (and healthcare facility if required by the NHS)",,,55,90.0,,https://www.croydon.gov.uk/sites/default/files/articles/downloads/Background%20evidence%20for%20each%20Detailed%20Proposal%20site%20-%20Proposed%20Submission%20%281%29_0.pdf,,2017-12-31,2017-12-31,Croydon Local Plan allocation
