Organisati,SiteRefere,SiteNameAd,SiteplanUR,GeoY,GeoX,OwnershipS,PlanningSt,Permission,Permissi_1,PlanningHi,Deliverabl,NetDwellin,NetDwell_1,HazardousS,Notes,FirstAdded,LastUpdate,EndDate
http://opendatacommunities.org/id/district-council/gedling,6\7,"Meadow Road Industrial Site, Meadow Road, Carlton",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C7,52.961695,-1.082693,not owned by a public authority,pending decision,,,,,35,40,,Outline planning application for up to 40 dwellings (2018/0045) granted in October 2018 subject to the signing of the s106.,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\18,"Rolleston Drive (NCC Offices), Rolleston Drive, Arnold",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C18,53.003151,-1.116093,owned by a public authority,not permissioned,,,,yes,140,140,,The site is allocated in the Local Planning Document (site H1).,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\20,"Bestwood Business Park, Park Road, Bestwood Village",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C20,53.020485,-1.180971,not owned by a public authority,not permissioned,,,,,220,220,,The site is allocated in the Local Planning Document (site H13).,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\49,"Brookfields Garden Centre, Mapperley Plains, Arnold",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C49,53.004843,-1.102291,not owned by a public authority,pending decision,,,,yes,90,90,,The site is allocated in the Local Planning Document (site H2). Outline planning application (2017/0155) for up to 32 homes on part of the site (to the rear of Brookfields Garden Centre) granted in October 2018 subject to the signing of the s106.,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\73,"Bestwood Hotel, Park Road, Bestwood Village",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C73,53.0222131,-1.1759712,not owned by a public authority,permissioned,full planning permission,"""2015-09-24""",,yes,12,12,,Site built in December 2017.,"""2017-04-01""","""2019-12-13""","""2017-12-19"""
http://opendatacommunities.org/id/district-council/gedling,6\154,"Mansfield Lane (110-112), Mansfield Lane, Calverton",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C154,53.041728,-1.0813158,not owned by a public authority,permissioned,full planning permission,"""2004-12-21""",,yes,6,6,,The site has full planning permission for 6 homes (2004/1471). Information from the SHLAA 2018 consultation states that the foundations to the garages have been laid and further work on the site has not yet proceeded.,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\209,"Burton Road, Burton Road, Carlton",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C209,52.9675067,-1.0859455,owned by a public authority,not permissioned,,,,yes,8,8,,Planning permission (2006/0202) for 3 dwellings lapsed in April 2009. Information from the SHLAA 2019 consultation indicates that the Council are still working on proposals to redevelop the site for social housing.,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\216,"Fraser Street (Site of 36), Fraser Street, Newstead",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C216,53.069804,-1.2253282,not owned by a public authority,permissioned,full planning permission,"""2016-10-04""",,yes,8,8,,Site built in December 2017.,"""2017-04-01""","""2019-12-13""","""2017-12-06"""
http://opendatacommunities.org/id/district-council/gedling,6\229,"Westdale Lane East (72-74), Westdale Lane East, Carlton",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C229,52.9741991,-1.0878581,not owned by a public authority,permissioned,full planning permission,"""2017-10-19""",,yes,10,10,,Full planning permission for residential development (2017/0157) granted in October 2017.,"""2017-04-01""","""2019-12-13""",
http://opendatacommunities.org/id/district-council/gedling,6\260,"Sol Construction Ltd, Vale Road, Carlton",http://gedlingbc.maps.arcgis.com/apps/webappviewer/index.html?id=57b3b3cce7c44532b0cface13f74177e&find=6%5C260,52.9565991,-1.0922423,not owned by a public authority,permissioned,full planning permission,"""2008-07-03""",,yes,44,44,,Construction work delayed on site (2008/0287). Full planning application to vary condition 12 of 2008/0287 for minor changes and amend previously agreed s106 planning obligation (2016/0347) was refused in December 2018. Appeal allowed in June 2019.,"""2017-04-01""","""2019-12-13""",
