OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,AlternativeReferences
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0012,,"""Land at 157-167 Nevendon Road, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8546&p=0,WGS84,0.516439,51.604306,0.54,owned by a public authority,yes,permissioned,full planning permission,24/04/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Re-development of disused community hall, car parking areas and surrounding land, including removal of highway rights, to provide 4 no. two-bedroom houses and 2 no. two-bedroom flats with associated parking provision.""",,,6,6,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Permission for housing granted on part of the site. Works commenced. Only to be removed once completed. Deliverable within 1 year. 21/07/17. 24/08/18.,21/07/2017,24/08/2018,SS0177,16/01162/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0013,,"""Laindon Town Centre/shopping centre, Laindon High Road""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8547&p=0,WGS84,0.423021,51.574086,5.78,unknown ownership,,permissioned,full planning permission,04/10/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,224,"""Redevelopment for residential, food store, business, retail, financial & professional service, restaurants/cafés, drinking establishments, hot food takeaways, non-residential institutions & assembly & leisure with associated parking, access, servicing, landscaping & open spaces.""","""Redevelopment for residential, food store, business, retail, financial & professional service, restaurants/cafés, drinking establishments, hot food takeaways, non-residential institutions & assembly & leisure with associated parking, access, servicing, landscaping & open spaces.""",,224,224,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Site area amended to match pp. Planning Permission granted. Expires 04/10/2020. Only to be removed once expired or completed. Deliverable within 6 years. 24/10/17. 24/08/18.,21/07/2017,24/08/2018,SS0181,16/01594/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0014,,"""Alpha Garden Centre, London Road, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8548&p=0,WGS84,0.497056,51.611056,1.94,not owned by a public authority,,not permissioned,,,,,8,,,,8,10,,,Site area from HELAA reduced to Brownfield land only.  Deliverable within 6 years. 25/07/17. 24/08/18.,21/07/2017,24/08/2018,SS0197,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0015,,"""Basildon zoo site, London Road, Vange""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8549&p=0,WGS84,0.471136,51.554592,0.88,not owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,Site area from HELAA reduced to Brownfield land only.  Deliverable within 6 years. 25/07/17. 24/08/18.,25/07/2017,24/08/2018,SS0236,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0017,,"""Land at junction of Pound Land and Clarence Road, Basildon""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8551&p=0,WGS84,0.533228,51.547026,0.53,not owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,Deliverable within 6 years. 1no. existing dwelling. 26/07/17. 24/08/18.,26/07/2017,24/08/2018,SS0445,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0018,,"""Land south of Clarence Road, Bowers Gifford, Basildon""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8552&p=0,WGS84,0.533816,51.574012,0.31,not owned by a public authority,,not permissioned,,,,,1,,,,1,1,,,Deliverable within 6 years. 1no. existing dwelling. 31/07/17. 24/08/18.,31/07/2017,24/08/2018,SS0526,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0019,,"""Land at The Elms, Cranfield Park Road, Wickford, SS12 9EP""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8553&p=0,WGS84,0.526544,51.597983,1.89,not owned by a public authority,,not permissioned,,,,,8,,,,8,8,,,Deliverable within 6 years. 1no. existing dwelling. 02/08/17. 24/08/18.,02/08/2017,24/08/2018,SS0592,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0021,,"""245 Pound Lane, Bowers Gifford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8555&p=0,WGS84,0.531807,51.576807,0.38,not owned by a public authority,,not permissioned,,,,,2,,,,2,2,,,Deliverable within 6 years. 1no. existing dwelling. LDC granted for land use. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0670,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0022,,"""Land at Long Lynderswood, Basildon. SS15 5UN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8556&p=0,WGS84,0.451101,51.569959,0.42,owned by a public authority,yes,permissioned,full planning permission,24/01/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,20,"""Redevelopment of vacant community club building/parking area and surrounding land,  including change of use of highway land, in the form of a part three/part four storey block to provide 20 x two bedroom flats with car/cycle parking provision.""",,,20,20,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 2 years. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0675,16/01134/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0023,,"""1-30 Roman Way, Billericay. CM12 9LJ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8557&p=0,WGS84,0.418258,51.619195,0.51,owned by a public authority,yes,permissioned,full planning permission,15/02/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,-15,"""Construction of 15 no. houses comprising 9 no. two-bedroom, 2 no. three-bedroom and 4 no. four-bedroom homes, with associated parking, boundary walls and fences, landscaping, removal of highway rights and creation of a one-way access road together with parking for two coaches for use by the adjacent school.""",,,-15,-15,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"Planning Permission granted. Works have commenced, Only to be removed once completed. 30no. existing dwellings. Deliverable within 2 years. 07/08/17. 24/08/18.",07/08/2017,24/08/2018,SS0676,16/01226/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0024,,"""Land north west of 40-48 Cedar Avenue, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8558&p=0,WGS84,0.518132,51.603317,0.16,owned by a public authority,yes,permissioned,full planning permission,24/04/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,4,"""Re-development of Thackeray Row garage site, to provide 4 no. two-bedroom houses with private amenity space and car parking provision, including the removal of highway rights.""",,,4,4,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works have not commenced and permission expires 24/04/2020. Only to be removed once completed or expired.  Deliverable within 1 year. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0677,16/01165/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0025,,"""35 Glenmere, Basildon. SS16 4QR""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8559&p=0,WGS84,0.479708,51.554915,0.13,owned by a public authority,yes,permissioned,full planning permission,08/11/2017,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Demolition of the existing community hall and garages, and erection of four x two-bedroom dwellings and one x three-bedroom dwelling, with associated parking, boundary walls and hard landscaping; together with resurfacing of the hardstandings and creation of 10 additional parking bays on land between 33 and 37; 80 and 82; and 88 and 90 Glenmere.""",,,5,5,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning permission granted. Works have not commenced and permission expires 8/11/20. Deliverable within 1 year. 09/11/17. 24/08/18.,07/08/2017,24/08/2018,SS0680,17/01267/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0026,,"""Land including 1-35 Littlethorpe, Basildon. SS16 4LH""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8560&p=0,WGS84,0.489033,51.56124,0.51,owned by a public authority,yes,not permissioned,,,,,7,,,,7,16,,,Deliverable within 4 years. 7no. existing dwellings. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0681,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0027,,"""Pitsea Housing Office/The Place, Northlands Pavement, Basildon. SS13 3DU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8561&p=0,WGS84,0.503796,51.566913,0.71,owned by a public authority,yes,not permissioned,,,,,17,,,,17,31,,,Deliverable within 4 years. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0682,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0028,,"""Swan Mead Centre, Church Road, Basildon. SS16 4AG""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8562&p=0,WGS84,0.474641,51.568143,0.32,owned by a public authority,yes,not permissioned,,,,,9,,,,9,10,,,Site area from HELAA reduced to Brownfield land only. Deliverable within 4 years. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0684,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0029,,"""St Chad's Church, Clay Hill Road, Basildon""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8563&p=0,WGS84,0.486281,51.56031,0.42,owned by a public authority,yes,not permissioned,,,,,11,,,,11,18,,,Deliverable within 4 years. 07/08/17. 24/08/18.,07/08/2017,24/08/2018,SS0689,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0030,,"""Garages located at Downey Close, Basildon. SS14 2NF""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8564&p=0,WGS84,0.47199,51.574863,0.17,owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0695,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0031,,"""Garages located at Great Knightleys and Swan Close, Basildon. SS15 5GE""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8565&p=0,WGS84,0.441382,51.573058,0.22,owned by a public authority,yes,not permissioned,,,,,5,,,,5,7,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0696,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0032,,"""Garages to the south of 13 Falstones, Basildon. SS15 5BU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8566&p=0,WGS84,0.445631,51.571018,0.19,owned by a public authority,yes,not permissioned,,,,,4,,,,4,6,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0698,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0033,,"""Garages to the north of 84 Falstones, Basildon. SS15 5BX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8567&p=0,WGS84,0.443531,51.571421,0.15,owned by a public authority,yes,not permissioned,,,,,3,,,,3,5,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0699,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0034,,"""Garages to the north of 108 Falstones, Basildon. SS15 5DF""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8568&p=0,WGS84,0.442107,51.570956,0.3,owned by a public authority,yes,not permissioned,,,,,7,,,,7,10,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0700,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0035,,"""Garages to the north of 86 Paprills, Basildon. SS16 5QX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8569&p=0,WGS84,0.441623,51.565975,0.28,owned by a public authority,yes,not permissioned,,,,,4,,,,4,9,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0701,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0036,,"""Garages north and west of 1 Cadogan Terrace, Basildon. SS13 2BD""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8570&p=0,WGS84,0.515851,51.573544,0.17,owned by a public authority,yes,not permissioned,,,,,4,,,,4,9,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0704,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0037,,"""Garages to the south of 11 Culverdown, Basildon. SS14 2AL""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8571&p=0,WGS84,0.458822,51.573161,0.21,owned by a public authority,yes,not permissioned,,,,,6,,,,6,7,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0705,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0038,,"""Garages to the west of 85 Great Mistley, Basildon. SS16 4BE""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8572&p=0,WGS84,0.471276,51.565435,0.17,owned by a public authority,yes,not permissioned,,,,,5,,,,5,9,,,Deliverable within 3 years. 07/08/17. 31/08/18.,07/08/2017,31/08/2018,SS0707,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0039,,"""1A Bruce Grove, Wickford, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8573&p=0,WGS84,0.539203,51.608493,0.94,not owned by a public authority,yes,permissioned,reserved matters approval,18/04/2018,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,49,"""Reserved Matters application to approve appearance, landscaping, layout and scale pursuant to planning consent 13/00372/OUT  (Appeal Ref: APP/V1505/A/14/221175).""",,,49,49,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Outline and Reserved Matters permission  granted. Permission expires 18/04/2021. Only to be removed once expired or completed. Deliverable within 3 years. 05/09/17. 31/08/18.,05/09/2017,03/09/2018,13/00372/OUT,17/01319/REM
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0043,,"""Black Horse House, Bentalls, Basildon, Essex. SS14 3BY""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8577&p=0,WGS84,0.456473,51.582069,0.03,not owned by a public authority,yes,permissioned,other,10/04/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,28,"""Prior Notification of proposed development under GPDO Class J for: Change of use from B1(A) Offices to Class C3 (Dwellinghouses) of former offices at Black Horse House to 28 residential flats (use Class C3).""",,,28,28,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior approval granted. Works have not commenced. Only to be removed once completed or expired 04/10/2020. Deliverable within 2 years. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,15/00227/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0044,,"""2 Sun Street, Billericay, Essex. CM12 9LN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8578&p=0,WGS84,0.41638,51.621914,0.12,not owned by a public authority,yes,permissioned,full planning permission,08/02/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,13,"""Demolition of outbuildings and partial demolition of the rear of the pub, retaining the front portion.  Construction of a 2.5 storey (3 floors) extension to the rear of the pub and conversion to 8 residential flats.  Construction of 2 storey building with accommodation in mansard roof to provide 5 residential flats, 16 car parking spaces and landscaping (total of 7 x 2 bed flats and 6 x 1 bed flats).""",,,13,13,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission  granted. Works commenced. Only to be removed once completed. Deliverable within 2 years. 20/09/17.,20/09/2017,03/09/2018,15/00465/FUL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0045,,"""Barn Farm, Cranfield Park Road, Wickford, Essex. SS12 9ES""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8579&p=0,WGS84,0.529371,51.597922,0.47,not owned by a public authority,yes,permissioned,full planning permission,06/11/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,4,"""Removal of established use of site for motor repairs, including demolition of all outbuildings, and construction of 4 no. detached houses at land adjacent to Barn Farm.""",,,4,4,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 06/09/17. 31/08/18.,06/09/2017,03/09/2018,15/00554/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0046,,"""Northgate House, High Pavement, Basildon, Essex. SS14 1EA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8580&p=0,WGS84,0.457289,51.570585,0.12,not owned by a public authority,yes,permissioned,other,16/03/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,87,"""Prior Notification of proposed development under GPDO Class O for: Change of use from B1(A) Offices to Class C3 (Dwellinghouses) of former offices on top 3 floors at Northgate House to 87 residential flats (use Class C3).""",,,87,87,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Prior approval granted. Works commenced. Only to be removed once completed. Deliverable within 3 years. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,15/00611/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0048,,"""21 Cavell Road, Billericay, Essex. CM11 2HR""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8582&p=0,WGS84,0.432995,51.624071,0.07,not owned by a public authority,yes,permissioned,full planning permission,09/10/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Conversion of 21 and 23 Cavell Road into 6 no. residential flats with the addition of a single-storey rear extension, open porches to entrance doors and alterations to provide 9 no. parking spaces within the site.""",,,6,6,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission  granted. Works have not commenced. Only to be removed once completed or expired 10/09/2018. Deliverable within 1 year. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,15/00731/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0049,,"""Raybourne Cottage, Rectory Road, Billericay, Essex. CM12 9UA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8583&p=0,WGS84,0.410785,51.591848,0.6,not owned by a public authority,yes,permissioned,full planning permission,19/05/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,1,"""Proposed works and extension to Raybourne Cottage together with the construction of one no. new, detached dwelling and two no. detached cartlodges.""",,,1,1,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission  granted. Permission expires 19/05/2019. Only to be removed once expired or completed. Deliverable within 1 year. 06/09/17. 31/08/18.,06/09/2017,03/09/2018,15/01024/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0050,,"""Willowdale Centre, High Street, Wickford, Essex. SS12 0RA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8584&p=0,WGS84,0.519989,51.613367,0.02,not owned by a public authority,yes,permissioned,full planning permission,18/11/2015,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,"""Change of use of existing vacant first-floor offices, together with a first-floor extension and new second floor, to create 4 no. one-bedroom and 3 no. two-bedroom residential flats with associated refuse and cycle storage, with existing ground floor retail units retained.""",,,7,7,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission  granted. Works commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,15/01028/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0051,,"""78 High Street, Billericay, Essex. CM12 9BT""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=8585&p=0,WGS84,0.417832,51.62504,0.08,not owned by a public authority,yes,permissioned,full planning permission,12/04/2016,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Demolition of shop and office premises and construction of two storey building with accommodation in roof space (3 floors), incorporating a retail unit (Class A1 use) to ground floor and 3 residential flats above. Demolition of outbuilding and construction of detached two storey building within rear courtyard to create 2 further residential flats, with associated parking and landscaping. (76-78 High Street).""","""Demolition of shop and office premises and construction of two storey building with accommodation in roof space (3 floors), incorporating a retail unit (Class A1 use) to ground floor and 3 residential flats above. Demolition of outbuilding and construction of detached two storey building within rear courtyard to create 2 further residential flats, with associated parking and landscaping. (76-78 High Street).""",,5,5,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,Planning Permission  granted. Permission expires 12/04/2019. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/17. 31/08/18.,20/09/2017,03/09/2018,16/00005/FULL,
