Organisational URI,Organisation Label,Site Reference,Previously PartOf,SiteName Address,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed ForPIP,MinNet Dwellings,Development Description,NonHousing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map ref 1 Policy SA1 SALP (July 2013),,The Depot (Commercial Centre) Old Bracknell Lane West Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.755259,51.412427,1.53,Owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,115,,,,115,115,,,Site Allocated in Local Plan PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map ref 2 Policy SA1 SALP (July 2013),,Albert Road Car Park Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.751896,51.419225,0.53,Owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,40,,,,40,40,,,Site Allocated in Local Plan - PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),"Map ref 3 Policy SA1 SALP (July 2013)
17/01065/FUL",,Downside Wildridings Road Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.756377,51.410424,0..46,Not owned by a public authority,,Permissioned,full planning permission,2018-06-29 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,26,Erection of a three storey detached building forming 5 no. one bedroom flats and 21 no. two bedroom flats following demolition of existing building.,,,26,26,,,Site Allocated in Local Plan - PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map ref 4 Policy SA1 SALP (July 2013),,Land at Battle Bridge House & garage Forest Road Warfield,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.749171,51.435292,0.29,Unknown owenrship,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,10,,,,10,10,,,Site Allocated in Local Plan - PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map ref 5 Policy SA3 SALP (July 2013),,White Cairn Dukes Ride Crowthorne,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.810864,51.368053,0.5,Not owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,16,,,,16,16,,,Site Allocated in Local Plan - Edge of Settlement Site,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map ref 7 Policy SA1 Residual SALP July 2013,,Old Bracknell Lane West Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.755259,51.412427,2.51,Not owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,131,,,,131,131,,,Site Allocated in Local Plan - PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 8 Policy SA1 Residual July 2013 SALP,,Land North of Eastern Road (Greenwood/MOT/Radius Court),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.739744,51.415552,1.98,Not owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,188,,,,188,188,,,Site Allocated in Local Plan - PDL in Defined Settlenments,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 9 Policy SA4 SALP July 2013,,Land at Broadmoor Crowthorne,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.781,51.369086,15,Not owned by a public authority,,not permissioned,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,,270,,,,270,270,,,Site Allocated in Local Plan - Mixed use development. Site is affected by a number of heritage constraints.,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 10 SHELAA BIN4,,Wyevale Garden Centre Forest Road Binfield,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.775567,51.434338,1.89,Not owned by a public authority,,pending decision,full planning permission,,http://consult.bracknell-forest.gov.uk/file/4867117,,35,"18/01168/FUL - Erection of 33 dwellings with associated landscaping, open space and car parking following demolition of existing buildings.",,,33,33,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 12 SHELAA BRA7,,Town square The Ring Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.747572,51.417479,1.16,Not owned by a public authority,,not permissioned,,,http://consult.bracknell-forest.gov.uk/file/4867117,,130,,,,130,130,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 13 18/00964/FUL,,Bus depot Coldborough House Market Street Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.753731,51.414137,0.61,Not owned by a public authority,,permissiond,full planning permission,2018-11-30 00:00:00,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,,242,"Redevelopment of site to provide a building with a maximum height of 11 storeys accommodating 242no. residential units, up to 225sq m of commercial space (use classes A1, A2, B1, D1 and D2) and ancillary works including car parking, cycle parking and associated landscaping.","up to 225sq m of commercial space (use classes A1, A2, B1, D1 and D2)",,242,242,,,,2017-10-01,2018-12-19
http://opendatacommunities.org/doc/unitary-authority/bracknell-forest,Bracknell Forest Council (Unitary),Map Ref 14 SHELAA BRA12,,Former Bus Depot Market Street Bracknell,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,WGS84,-0.753189562,51.41608238,0.47,Owned by a public authority,,not permissioned,,,http://consult.bracknell-forest.gov.uk/file/4867117,,150,,,,150,150,,,,2017-10-01,2018-12-19
