OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPiP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,SHLAARef,PlanPermission,PPRN
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNC0497_20141671,,"""32-38 Market Place - Odeon Arcade""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=346&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458701.78,304495.97,0.11,not owned by a public authority,Yes,permissioned,full planning permission,2015-01-29,,,100,Planning permission for 100 flats,,,,,,,,2017-12-31,2017-12-31,346,20141671,MNC0497
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NMA6450_20160424,,"""Lee Circle Fleet House""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=409&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459064.27,304949.87,0.24,not owned by a public authority,Yes,permissioned,full planning permission,2016-04-27,,,155,Planning permission for 155 flats,,,,,,,,2017-12-31,2017-12-31,409,20160424,NMA6450
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MMM1532_20140075,,"""27 Churchgate""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=364&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458716.23,304732.11,0.03,not owned by a public authority,Yes,permissioned,full planning permission,2014-04-10,,,11,Planning permission for 11 flats,,,,,,,,2017-12-31,2017-12-31,364,20140075,MMM1532
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NOT5363_20161047,,"""57 The Oval - New Walk""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=435&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459455.08,303665.12,1.0,not owned by a public authority,Yes,permissioned,full planning permission,2016-12-13,,,54,Planning permission for 54 flats,,,,,,,,2017-12-31,2017-12-31,435,20161047,NOT5363
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,KQR0931_20151042,,"""Faircharm Trading Estate - Evelyn Drive""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=303&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,457673.4,302585.83,2.8,not owned by a public authority,Yes,permissioned,outline planning permission,2017-06-01,,,66,Site has outline consent for up to 66 dwellings,,,,,,,,2017-12-31,2017-12-31,303,20151042,KQR0931
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LWU5995,,"""Sturdee Road - The Exchange""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=297&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458153.9,299592.65,1.0,mixed ownership,Yes,not permissioned,,,,,33,,,,33,33,,,,2017-12-31,2017-12-31,297,,LWU5995
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNG7025_20161670,,"""15-23 Hotel Street and 6 Millstone Lane""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=367&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458670.86,304326.15,0.1,not owned by a public authority,Yes,permissioned,full planning permission,2016-10-10,,,36,Planning permission for 36 flats,,,,,,,,2017-12-31,2017-12-31,367,20161670,MNG7025
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNY4783_20140794,,"""44 Conduit Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=361&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459446.87,304083.82,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2014-11-07,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,361,20140794,NNY4783
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNG5567_20151258,,"""13 Hotel Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=399&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458650.6,304364.37,0.04,not owned by a public authority,Yes,permissioned,full planning permission,2015-08-18,,,24,Planning permission for 24 flats,,,,,,,,2017-12-31,2017-12-31,399,20151258,MNG5567
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,OOL1167_20160108,,"""100 London Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=404&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459610.52,303765.19,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2016-03-11,,,10,Planning permission for 10 flats,,,,,,,,2017-12-31,2017-12-31,404,20160108,OOL1167
