OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,CoordinateReferenceSystem,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR1,,"Rolls Royce, Watnall Road, Hucknall",OSGB36,347014.43,452071.21,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,31.09,not owned by a public authority,,permissioned,outline planning permission,2014-11-14,,,,517,Outline pp for residential development (V/2013/0123),"Primary School (1.1 Ha), shops (net tradable area 1218 sqm)",,,,,,Outline planning consent for 900 dwellings. Reserved Matters consent on part of the site.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR3,,"Factory site on Bolsover Street, Hucknall",OSGB36,349102.87,453843.99,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.22,not owned by a public authority,yes,not permissioned,,,,,,16,Site can accommodate up to 16 dwellings. Conversion of red brick factory building (on Local Heritage List).,,,,,,,Future development will need to consider: A flood risk assessment reflecting greenfield runoff rates anticipated;  Desktop survey and potential further investigations if contamination is suspected;   A noise impact assessment (in relation to the neighbouring factory); suitable relocation of existing businesses on the site and that the building is a local heritage site,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR4,,"Land at Daniels Way, Hucknall",OSGB36,347844.83,452512.33,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,1.1,not owned by a public authority,yes,permissioned,outline planning permission,2015-07-17,,,,50,Outline planning permission for 50 dwellings,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR7,,"8a Annesley Road, Hucknall",OSGB36,349486.76,453365.21,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.03,not owned by a public authority,yes,permissioned,full planning permission,2016-05-19,,,,9,Full Planning permission for the conversion into 9 apartments,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR8,,"Land at Priestsic Road/Northern View, Sutton in Ashfield",OSGB36,359433.19,449569.09,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.53,not owned by a public authority,yes,not permissioned,,,,,,24,Potential for residential development 24 dwellings,,,,,,,Potential allocated site in the emerging Local Plan SKA3f.  Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues;  Desktop survey and potential further investigations if contamination is suspected.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR9,,"Davies Avenue, Sutton in Ashfield",OSGB36,359614.11,449255.38,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.6,owned by a public authority,yes,not permissioned,,,,,,19,Potential for residential development 19 dwellings.  Affordable housing to the southern part of the site.,,,,,,,Potential allocated site in the emerging Local Plan SKA3r.   Mitigation measures required in relation to any surface water issues.   Southern part of the site anticipated to be affordable housing.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR10,,"Land at 57 Stoneyford Road, Sutton in Ashfield",OSGB36,359758.22,449544.55,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.35,not owned by a public authority,yes,not permissioned,,,,,,9,Brownfield element of a larger site identified as a proposed allocation in the emerging Local Plan.  Larger site has had previous planning permission v/2013/0647.,,,,,,,Potential larger site available proposed allocation  in emerging Local Plan allocation SKA3z 50 dwellings.   Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues;  Desktop survey and potential further investigations if contamination if suspected.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR11,,"Warwick Close, Kirkby in Ashfield",OSGB36,356288.56,451531.05,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.83,owned by a public authority,yes,not permissioned,,,,,,24,Potential for residential development 24 dwellings,,,,,,,Proposed housing allocation  in emerging Local Plan allocation SKAaj.   Mitigation measures required in relation to any surface water issues.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR12,,"Land off Southwell Lane, Kirkby in Ashfield",OSGB36,356768.89,450350.97,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,1.45,not owned by a public authority,yes,permissioned,outline planning permission,2015-05-29,,,,60,"Outline Application with All Matters Reserved (except for Access) for Residential Development, Drainage and Landscaping",,,,,,,The site has planning permission subject to a number of conditions.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR13,,"Charles Trent Ltd, Sidings Road, Kirkby in Ashfield",OSGB36,356951.36,451040.92,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,3.45,not owned by a public authority,yes,permissioned,outline planning permission,2015-05-29,,,,81,Outline Application for Residential Development including Access and Layout and Part Retention of Office Space (B1),,,,,,,The site has planning permission subject to a number of conditions.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR14,,"Quantum Clothing, North Street, Huthwaite",OSGB36,359421.03,447394.19,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,2.2,not owned by a public authority,yes,permissioned,outline planning permission,2016-10-27,,,,90,Outline planning permission with a layout which identifies a potential for 90 dwellings.,,,,,,,The site has planning permission subject to a number of conditions.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR15,,"Station House, Outram Street, Sutton in Ashfield",OSGB36,359072.08,449743.09,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.15,not owned by a public authority,yes,not permissioned,,,,,,28,Potential for residential development of 28 apartments from expired planning application V/2012/0043,,,,,,,Potential allocated site in the emerging Local Plan SKA3s.  Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues;  Desktop survey and potential further investigations if contamination if suspected.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR16,,"Blue Bell PH, Carsic Lane, Sutton in Ashfield",OSGB36,359059.68,449245.65,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.17,not owned by a public authority,yes,not permissioned,,,,,,11,Potential for residential development of 11 apartments (Expired planning permission V/2014/0228)),,,,,,,"Anticipated that conditions will be required including drainage, removal of tarmac /hardcore of existing car park & off site traffic management  Carsic Lane.",2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR17,,"Between 39-59 Russell Street, Sutton in Ashfield",OSGB36,359345.05,449809.91,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.11,not owned by a public authority,yes,not permissioned,,,,,,5,Five dwellings on former factory site.   The site has an expired permission V/2014/0262.,,,,,,,As a former factory site it is anticipated a desktop survey will be required and potential further investigations if contamination is suspected.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR18,,"Adjacent 75 Dalestorth Road, Sutton in Ashfield",OSGB36,360396.18,450485.84,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.1,not owned by a public authority,yes,permissioned,full planning permission,2015-07-01,,,,5,Full Planning permission for 5 dwellings,,,,,,,The site has planning permission subject to a number of conditions.,2017-07-28,2017-07-28,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR21,,"MB House, Woodstock Street, Hucknall, NG15 7SP",OSGB36,348989.91,453794.49,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.0625,not owned by a public authority,Yes,permissioned,full planning permission,2018-03-01,,,,9,Full Planning permission for 9 apartments,,,,,,,,2018-12-18,2018-12-18,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR22,,"Land at the Junction of Outram Street/Park Street, Sutton in Ashfield",OSGB36,359183.7,449743.2,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.12,not owned by a public authority,,not permissioned,,,,,,5,Potentially suitable for apartments,,,,,,,,2018-12-18,2018-12-18,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR23,,"87 Outram Street, Sutton in Ashfield",OSGB36,359302.8,449843.2,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.278,not owned by a public authority,Yes,permissioned,full planning permission,2018-07-16,,,,6,Planning permission for conversion to 6 flats,,,,,,,,2018-12-18,2018-12-18,2020-12-31
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR24,,"Land off Fox Street, Sutton in Ashfield",OSGB36,359008.08,449542.37,https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,0.1961,owned by a public authority,Yes,not permissioned,,,,,,8,"Sutton in Ashfield Town Centre.  Based on a density of 40 dwellings per ha,  8 dwellings could be built on the site.   Subject to planning permssion, the site could be available for apartments at higher densities.",,,,,,,,2018-12-18,2018-12-18,2020-12-31
