Reference,Planning Reference,Site_Name,Site_Address,Plan,Easting,Northing,Reference_System,Area,Local_Authority,URI,Ownership,Deliverable,Planning_Status,Date_Permission,Type_Permission,Description,Dwelling_Range,Min_Capacity,Non_Resi_Dev,Register_Date,Updated_Date,Comments
UBLR/17/001,05Saf15,56 High Street,Saffron Walden CB10 1EF,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,553777,238342,OSGB1936,0.090,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Not permissioned,,,,5 - 10,,Could incorporate town centre uses of retail; offices,2017-12-12,,
UBLR/17/002,13Saf15,Viceroy Coaches,"Rear of 10-12 Bridge Street, Saffron Walden CB10 1BU",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,553586,238679,OSGB1936,0.244,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,not owned by a public authority,Yes,Not permissioned,,,,8-13,,,2017-12-12,,
UBLR/17/003,08Saf15,Helena Romanes School,"Parsonage Downs, Great Dunmow, CM6 2AU",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562100,223039,OSGB1936,3.571,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,owned by a public authority,Yes,Not permissioned,,,,81-135,,,2017-12-12,,
UBLR/17/004,14Tha15,Claypits Farm,"Bardfield Road, Thaxted, CM6 2LW",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,561594,230752,OSGB1936,0.523,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Not permissioned,,,,14-23,,,2017-12-12,,UTT/18/0750/OP approved 2 October 2019
UBLR/17/005,16Saf16,Jossaume,"Thaxted Road, Saffron Walden CB11 3AA",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,554431,238387,OSGB1936,0.417,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Not permissioned,,,,12-20,,,2017-12-12,,
UBLR/17/007,UTT/12/5270/FUL,Fomer Perkins Garage Site,"14 Stortford Road, Great Dunmow, CM6 1DF",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562480,222049,OSGB1936,0.123,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Not permissioned,,,,,12,,2017-12-12,,Permission expired
UBLR/17/008,19GtDun16,Council Depot,"New Street, Great Dunmow, CM6 1BH",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562873,221695,OSGB1936,0.287,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Owned by a public authority,Yes,Not permissioned,,,,9-15,,,2017-12-12,,
UBLR/17/009,UTT/16/1444/OP,Land rear of The Kilns,"Thaxted Road, Saffron Walden, CB10 2UQ",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,554952,237438,OSGB1936,0.905,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2016-11-16,Outline permission,Residential development of up to 49 dwellings,,49,,2017-12-12,,
UBLR/17/011,UTT/17/2270/PAP3O,Mill House,"Royston Road, Wendens Ambo, CB11 4JX",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551537,236420,OSGB1936,0.020,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2017-09-15,Other (Prior Approval not Required),Change of use of offices to six dwellings,,6,,2017-12-12,,
UBLR/17/013,UTT/18/2523/FUL,Westons Yard,"Chelmsford Road, White Roding CM6 1RF",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,556684,213607,OSGB1936,0.280,UTT,https://ckan.publishing.service.gov.uk/dataset/uttlesford-brownfield-land-register,Not owned by a public authority,Yes,Permissioned,2017-06-16,Outline permission,Demolition of existing buildings and the construction of 7 no. new dwellings,,7,,2017-12-12,,
