LPA_URL,LPA,Site_Ref,Location___Address,Site_Plan_URL,Coodinate_Reference_System,GeoX,GeoY,AREA_Ha_,Ownership_Status,Planning_Status,TOTAL_NET_CAPACITY,Easting,Northing
www.liverpool.gov.uk,Liverpool City Council,6189,"440 ALLERTON ROAD, L18",,ETRS89 [EPSG: 4326],-2.892624,53.372354,0.10136537628174,Unknown,Permissioned,5,340709,386536
www.liverpool.gov.uk,Liverpool City Council,5157,LIVERPOOL WATERS - NORTHERN DOCKS,,ETRS89 [EPSG: 4326],-3.002699,53.424044,15.049741630554,Unknown,Permissioned,2636,333466,392383
www.liverpool.gov.uk,Liverpool City Council,6312,147 BRECK ROAD,,ETRS89 [EPSG: 4326],-2.953954,53.424742,0.0082254096984863,Unknown,Permissioned,1,336706,392416
www.liverpool.gov.uk,Liverpool City Council,4011,HOLLY COTTAGE AND LAND OF WOOD LANE,,ETRS89 [EPSG: 4326],-2.829977,53.381415,0.60875334014893,Unknown,Permissioned,38,344888,387493
www.liverpool.gov.uk,Liverpool City Council,4559,DORSET COURT. MADEIRA DRIVE L25.,,ETRS89 [EPSG: 4326],-2.861822,53.394594,0.51945901412964,Unknown,Permissioned,16,342788,388985
www.liverpool.gov.uk,Liverpool City Council,5714,CATS WHISKERS P.H. HARTSBOURNE AVENUE L25,,ETRS89 [EPSG: 4326],-2.865534,53.391074,0.16050905532837,Unknown,Permissioned,9,342536,388596
www.liverpool.gov.uk,Liverpool City Council,2661,WAREHOUSES ON PALL MALL (NORTH) & LAND TO REAR,,ETRS89 [EPSG: 4326],-2.993432,53.414319,1.1907747200012,Unknown,Permissioned,426,334067,391293
www.liverpool.gov.uk,Liverpool City Council,2877,KING EDWARD TRIANGLE,,ETRS89 [EPSG: 4326],-2.998006,53.411192,2.3394955871582,Unknown,Permissioned,1209,333758,390949
www.liverpool.gov.uk,Liverpool City Council,2734,JAMAICA STRRET AND LAND BETWEEN NORFOLK STREET AND BRICK STREET,,ETRS89 [EPSG: 4326],-2.979777,53.396259,0.4832364654541,Unknown,Permissioned,364,334947,389271
www.liverpool.gov.uk,Liverpool City Council,341,PRINCES DOCK AREA,,ETRS89 [EPSG: 4326],-2.999217,53.409074,11.400156557465,Unknown,Permissioned,1185,333674,390715
www.liverpool.gov.uk,Liverpool City Council,154,LAND AT JUNCTION OF ISLINGTON / ASHTON PLACE / GILDART STREET,,ETRS89 [EPSG: 4326],-2.971628,53.411318,0.52184672698975,Unknown,Permissioned,449,335511,390939
www.liverpool.gov.uk,Liverpool City Council,6165,ERSKINE STREET / MANFRED STREET / PROSPECT STREET,,ETRS89 [EPSG: 4326],-2.963349,53.411506,0.48534186401367,Unknown,Permissioned,422,336062,390952
www.liverpool.gov.uk,Liverpool City Council,6121,"STRAND HOUSE, 21 STRAND STREET",,ETRS89 [EPSG: 4326],-2.99088,53.403744,0.38344764556885,Unknown,Permissioned,393,334220,390114
