OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,PreviouslyPartOf,SitePlanURL,Coordinate Reference System,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstDateAdded,LastUpdatedDate
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,1,Ebbsfleet Central including car parks and land east of International Way,,https://www.dartford.gov.uk/__data/assets/pdf_file/0004/436513/01-Ebbsfleet-Central-Brownfiled-Land.pdf,OSGB36,561344,174076,31.92,not owned by a public authority,yes,permissioned,outline planning permission,01-Nov-03,,FALSE,1000,"Development of upto 789,550sq.m gross floorspace comprising employment, residential, hotel and leisure uses supporting retail & community facilities & provision of car parking, open space, roads & infrastructure.","Approx. 293,000sqm of B Class floorspace, along with supporting retail and community facilities to residential.",FALSE,,,,,Land to the north of the site is former municipal landfill. This area of the site will be unsuitable for residential use due to landfill gas emissions and ground stabilisation issues.,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,4,"Rear of Two Brewers, 33 Lowfield Street, Dartford, Kent, DA1 1EW",,https://www.dartford.gov.uk/__data/assets/pdf_file/0007/436516/04-Rear-of-Two-Brewers-Brownfiled-Land.pdf,OSGB36,554135,173902,0.02,not owned by a public authority,yes,permissioned,full planning permission,26-May-15,,FALSE,5,"Demolition of the existing single storey rear extensions and erection of a five storey building to the rear of the existing building to provide 1 No. three bedroom,  6 No. one bedroom, and 4 No. two bedroom flats (11 units in total), car parking spaces, and additional floor space for the use of the existing public house",,FALSE,,,,,"Site is adjacent to the Listed Two Brewers Pub, which is to be retained.",19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,5,"St Marys Church Hall, Church Hill, Stone, Kent, DA9 9BP",,https://www.dartford.gov.uk/__data/assets/pdf_file/0008/436517/05-St-Marys-Church-Hall-Brownfiled-Land.pdf,OSGB36,557472,174822,0.1,not owned by a public authority,yes,permissioned,reserved matters approval,09-Nov-18,,FALSE,5,"Submission of reserved matters relating to access, appearance, landscaping, layout and scale pursuant to condition 1 of outline planning permission DA/14/01805/OUT for demolition of existing hall and erection of 4 x 3 bedroom and 2 x 2 bedroom apartments with communal parking, storage and amenit",,FALSE,,,,,,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,8,"Land Adjacent To The Rear Of 1-12 Cressener Place, Burnham Road, Dartford, Kent",,https://www.dartford.gov.uk/__data/assets/pdf_file/0010/436519/08-Cressener-Place-Brownfiled-Land.pdf,OSGB36,553785,174697,0.14,not owned by a public authority,yes,permissioned,full planning permission,16-Dec-16,,FALSE,5,Erection of a terrace of 5 No. 2 bedroom two storey houses with parking and amenity space,,FALSE,,,,,,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,10,"Steam Crane Wharf, Lower Hythe Street, Dartford, Kent",,https://www.dartford.gov.uk/__data/assets/pdf_file/0003/436521/10-Steam-Crane-Wharf-Brownfiled-Land.pdf,OSGB36,554264,174671,0.48,not owned by a public authority,,not permissioned,,,,FALSE,19,No - flood risk issues and HSE consultation zones unlikely to be mitigated.,,FALSE,,,,,Vacant site.,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,14,"Land East Of Lowfield Street, Dartford, Kent",,https://www.dartford.gov.uk/__data/assets/pdf_file/0004/436522/14-Land-East-of-Lowfield-Street-Brownfiled-Land.pdf,OSGB36,554157,173772,2.52,not owned by a public authority,yes,permissioned,full planning permission,07-Sep-17,,FALSE,100,"Development comprising (a) detailed permission for the demolition of existing buildings, refurbishment of No. 26 Lowfield Street and the construction of 188 dwellings, retail units, office, café/micro-brewery, detailed landscape strategy, car parking, new internal access roads, sustainable urban drainage systems; and associated infrastructure and earthworks (b) outline permission, with all matters reserved except access, for the demolition of existing buildings and the erection of up to 360 dwellings, flexibility for the following Use Classes:- A1 (retail), A2 (financial and professional services), A3 (restaurants and cafes) and D1 (non-residential institutions) fronting Lowfield Street, new internal access roads, car parking, sustainable urban drainage systems; and associated landscaping, infrastructure and earthworks.",Town centre mixed use development.,FALSE,,,,,,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,15,"Former Croxton and Garry Site (North of London Road), Tiltman Avenue
Swanscombe
Kent",,https://www.dartford.gov.uk/__data/assets/pdf_file/0010/436555/15-Former-Croxton-and-Garry-Brownfiled-Land.pdf,OSGB36,559671,175023,2.57,not owned by a public authority,yes,pending decision,outline planning permission,,,FALSE,150,"Outline planning application for residential development of up to 220 dwellings including new vehicular access to Tiltman Avenue, creation of a development platform and associated works.",,FALSE,,,,,Application is currently in with Ebbsfleet Development Coorporation (EDC),19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,17,"Station Approach, Dartford, Kent, DA1 1BP",,https://www.dartford.gov.uk/__data/assets/pdf_file/0006/436524/17-Station-Approach-Brownfiled-Land.pdf,OSGB36,554281,174340,1.9,mixed ownership,yes,not permissioned,,,,FALSE,70,Mixed use development site adjacent to Dartford Train Station. Yes - limited constraints and potential for mitigation through site design.,,FALSE,,,,,,19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,18,"Thames Europort (Dartford International Ferry Terminal), Clipper Boulevard, Dartford, Kent",,https://www.dartford.gov.uk/__data/assets/pdf_file/0011/436556/18-Thames-Europort-Brownfiled-Land.pdf,OSGB36,557415,175358,17.93,not owned by a public authority,yes,not permissioned,,,,FALSE,600,Mixed use site. Yes - mitigation of constraints likely.,,FALSE,,,,,"Site owner to consider options regarding future release of the site  in consultation with the Council, Port of London Authority and other interested parties.",19-Dec-17,17-Dec-18
http://opendatacommunities.org/id/district-council/dartford,Dartford Borough Council,19,"Glentworth Club Site, 154 Lowfield St, Dartford DA1 1JB",,https://www.dartford.gov.uk/__data/assets/pdf_file/0007/436525/19-Glentworth-Club-Brownfiled-Land.pdf,OSGB36,554166,173603,0.55,not owned by a public authority,yes,not permissioned,,,,FALSE,10,Residential development site (part of the wider Lowfield Street regeneration).,,FALSE,,,,,Social Club is seeking to release the site for residential development and relocate. Housebuilder has indicated a willingness to aquire site for residential development.,19-Dec-17,17-Dec-18
