ORGANISATION URL,ORGANISATION LABEL,SITE REFERENCE,PREVIOUSLY PART OF,SITE NAME ADDRESS,SITE PLAN URL,COORDINATE REFERENCE SYSTEM,GEOX,GEOY,HECTARES,OWNERSHIP STATUS,DELIVERABLE,PLANNING STATUS,PERMISSION TYPE,PERMISSION DATE,PLANNING HISTORY,PROPOSED FOR PIP,MIN NET DWELLINGS,DEVELOPMENT DESCRIPTION,NON HOUSING DEVELOPMENT,PART 2,NET DWELLINGS RANGE FROM,NET DWELLINGS RANGE TO,HAZARDOUS SUBSTANCES,SITE INFORMATION,NOTES,FIRST ADDED DATE,LAST UPDATED DATE,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2008/0551,,130 Cazenove Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534352&lat=186981,ETRS89,-0.06299547,51.56571002,0.07,unknown,,permissioned,full planning permission,03/06/10,,,5,"Demolition of existing two storey, five bedroom, end terrace house; erection of replacement two storey plus loft and basement building to provide 229 sqm of office space at basement level with the provision of five self-contained flats above (comprising",,,,,,,,31/12/2017,,534352,186981
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2008/1262,,1A West Bank,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533274&lat=187892,ETRS89,-0.078194963,51.57415333,0.06,unknown,,permissioned,full planning permission,25/11/08,,,8,"Demolition  of existing two storey house and the erection of a three storey plus basement building (front) and a single storey plus basement building (rear) to provide eight residential units (comprising one x 3 bed duplex, one x 3 bed flat, 4 x 2 bed f",,,,,,,,31/12/2017,,533274,187892
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2009/2093,,325 Lordship Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532635&lat=187307,ETRS89,-0.087630725,51.56905383,0.07,unknown,,permissioned,full planning permission,30/03/12,,,22,"Erection of part 8, part 9, part 10 storey building to provide 22 residential units (4x1, 15x2 and 3x4 bed) and associated landscaping, car parking and cycle parking.",,,,,,,,31/12/2017,,532635,187307
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2012/2828,,19-29 de Beauvoir Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533129&lat=183943,ETRS89,-0.081782767,51.53869972,0.06,unknown,,permissioned,full planning permission,20/01/14,,,33,"Demolition of existing buildings and erection of a part 4-, part 9-storey building to provide 462 sq.m of Retail (Use Class A1) floorspace at ground and basement floor, and 33 self-contained residential units (2 x 1-bedroom, 20 x 2-bedroom, and 11 x 3-bedroom)  to the upper floors together with the formation of roof terraces and balconies, disabled car parking, secure cycle spaces, refuse/recycling storage and, hard and soft landscaping",,,,,,,,31/12/2017,,533129,183943
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2013/0502,,5-9 Yorkton Street London E2 8NH,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534028&lat=183159,ETRS89,-0.069114056,51.53144072,0.31,unknown,,permissioned,full planning permission,31/03/15,,,20,"Demolition of existing buildings and erection of a part single, part three, part four, part five storey building to provide 637sqm of commercial (use class B1) floorspace and 20 self contained residential units (use class C3) comprising 6 x 1 bed units, 9 x 2 bed units, 2 x 3 bed unit and 3 x 4 bed units.",,,,,,,,31/12/2017,,534028,183159
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2013/3223,,"Woodberry Down Estate Phases 2-8, 307 Seven Sisters Road",https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532451&lat=187745,ETRS89,-0.090122651,51.57302871,0.47,unknown,,permissioned,other,,,,2696,"Outline planning permission (all matters reserved) for demolition of existing buildings and structures at Woodberry Down Estate to provide up to 275,604sqm floorspace GEA (excluding car parking); comprising up to 3,242 residential units and a maximum of 10,921sqm non-residential floorspace within Classes A1 (Retail), A2 (Financial Services), A3 (Restaurants and Cafes), A4 (Drinking Establishments), Class B1 (Offices), Class D1(Non Residential Institutions), and D2 use and Energy Centres; along with provision of new open space and public realm and associated car parking and highway improvement works to Seven Sisters Road including a narrowing from six carriageways to four carriageways. Full details submitted for the redevelopment of the land bounded by Towncourt Path, Kayani Avenue, Green Lanes, West Reservoir/Springpark Drive and Woodberry Down (Phase 2) for the erection of four buildings between 3 and 20 storeys to provide 670 new homes (comprising 30 studios, 310 one bed, 271 two bed and 59 three bed units), 550sqm of non residential floorspace GEA within Classes A1-A4, Class B1, Class D1 and D2 use and new open space and public realm with 241 car parking spaces and 740 cycle spaces at ground and basement level.",,,,,,,,31/12/2017,,532451,187745
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0332,,18 Rossendale Street,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534586&lat=186720,ETRS89,-0.059724357,51.5633127,0.06,unknown,,permissioned,full planning permission,13/06/16,,,24,"Demolition of existing commercial buildings and erection of 2 six storey buildings to provide 24 flats (7 x three bedroom, 11 x two bedroom and 6 x one bedroom) and 101 m2 of business space (Use Class B1) together with cycle and refuse stores, 2 accessible car parking spaces and associated landscaping.",,,,,,,,31/12/2017,,534586,186720
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0610,,154 Dalston Lane,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534157&lat=184989,ETRS89,-0.066568003,51.54785789,0.04,unknown,,permissioned,full planning permission,20/01/15,,,7,"Demolition of existing building and construction of a 5-storey building comprising B1 (office) floorspace at ground and first floor levels, and 7 x residential units above, with 3 car parking spaces and covered cycle store in the rear.",,,,,,,,31/12/2017,,534157,184989
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0727,,231a Graham Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534875&lat=184895,ETRS89,-0.05624849,51.54684533,0.04,unknown,,permissioned,full planning permission,22/05/14,,,9,"Erection of part 3, part 4-storey mixed use development comprising 80sqm of B1 floorspace at ground floor level and 9 x self contained residential units at ground, first, second and third floor level (4x1 bedroom, 2x2 bedroom and 3x3 bedroom); provision",,,,,,,,31/12/2017,,534875,184895
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0814,,47 Lea Bridge Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535012&lat=186268,ETRS89,-0.053757855,51.55914392,0.17,unknown,,permissioned,full planning permission,18/11/14,,,26,"Demolition of existing building and erection of a part 5, part 6 storey building to provide 26 residential units (10x1, 9x2, 7x3 beds) with associated landscaping and car parking.",,,,,,,,31/12/2017,,535012,186268
