OrganistionURI,OrganistionLabel,Site Reference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateRefernceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,SiteInformation,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BLA/0039(a),BLA/0039,"""Land to rear of 21-33 Western Avenue, Blacon""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3823572.318,-195513.7376,338164,367821,0.216,not owned by a public authority,not permissioned,,,,,"""Residential development""",16,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BLA/0070,,"""27 Blacon Point Road, Blacon, Chester. CH1 5LD""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3823766.531,-195095.1485,338590,367600,0.173,not owned by a public authority,permissioned,full planning permission,2012-09-11,,yes,"""Two storey side extension to provide four (4) new flats. Addition of two (2) more flats - total of six (6)""",6,,,11/01876/FUL  12/02648/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0010,,"""King Edward Buildings/ Bensons site and surrounding land, Christleton""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825063.388,-191418.1312,342309,366168,0.339,mixed ownership,not permissioned,,,,,"""Residential development""",11,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0045,,"""Land at Premier House, Charterhall Drive, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824562.568,-192188.3567,341521,366754,2.476,not owned by a public authority,permissioned,reserved matters approval,2014-09-10,,,"""Full permission for first office building and outline permission for mixed use development comprising office buildings, dwellings, shops, financial and professional services, restaurants and cafes, drinking establishments, hot food takeaways, non residential institutions, assembly and leisure, access, car parking, servicing and landscaping""",200,,,"12/04895/FUL  14/03317/REM
14/01799/NMA",2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0074,,"""125-127 Boughton, Chester, CH3 5BH""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824744.676,-191966.5106,341750,366537,0.218,not owned by a public authority,permissioned,,2017-01-30,,yes,"""Change of use of a listed building to residential (8 apartments), demolition of out-building and erection of 2 storey building for 6 apartments """,14,,,,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,BOU/0084,,"""The Cloud, 10 Boughton, Chester, CH3 5BH""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824777.139,-192413.0429,341311,366471,0.066,not owned by a public authority,permissioned,planning permission granted under an order,2018-11-08,,yes,"""Change of use of building to 8 apartments""",8,,,"17/04633/PDO, 18/01720/FUL",2018-12-30,,
,,BOU/0095,,"""GC and P Wright, Charles Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,,,340944,366782,0.09,not owned by a public authority,permissioned,full planning permission,2019-03-07,,yes,"""Demolition of buildings and erection on 9 dwellings""",9,,,18/02223/FUL,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0003,,"""Linenhall car park, Stanley Street, Chester, CH1 2LR""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824871.611,-193505.3099,340216,366301,0.737,not owned by a public authority,permissioned,full planning permission,2013-12-23,,,"""Six-storey student accommodation comprising 59 cluster flats and 143 studios, together with ancilliary and communal facilities, landscaping and car parking""",202,,,"13/03210/FUL
17/00530/NMA",2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0004,,"""Land off Hoole Way/Black Diamond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824328.535,-192722.6664,340980,367018,0.297,not owned by a public authority,permissioned,,,,,"""Residential development""",20,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0005A,CHC/0005,"Land at Trafford Street, Chester",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824346.368,-193054.5836,340649,366980,,not owned by a public authority,not permissioned,,,,,"""Residential development""",,,,,2017-12-21,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0005B,CHC/0005,"""Former Partco Autoparts, Trafford Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824345.608,-193053.5561,340650,366981,,not owned by a public authority,permissioned,full planning permission,2018-08-17,,yes,"""Re-development of site to provide 35 residential apartments (Class C3- Under construction)""",35,,,18/00486/FUL,2018-12-30,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0006,,"""St Anne Street car park, Black Diamond Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824391.743,-192804.9459,340900,366936,0.342,owned by a public authority,not permissioned,,,,,"""Residential development""",11,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0008,,"""Browns Yard car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824743.993,-192737.1759,340980,366499,0.276,owned by a public authority,not permissioned,,,,,"""Residential development""",13,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0018,CHC/0018,"""Northgate Redevelopment Site: Land Bounded By Hunter Street, Northgate Street, Watergate Street And St Martins Way Chester Cheshire""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824809.16,-193365.0066,340354,366387,5.675,mixed ownership,permissioned,outline planning permission,2016-09-21,,,"""Hybrid application for part-demolition and part-retention of existing buildings and the construction of comprehensive mixed-use development comprising; retail stores, restaurants, cafes, drinking establishments (Use Classes A1, A2, A3 and A4), offices (Use Class B1), cinema and leisure uses (Use Class D2), 70-120 residential units (Use Class C3), public toilets, shopmobility, a relocated hotel and indoor market with associated new public squares, car and cycle parking, provision for buses and associated highway works and infrastructure, landscaping and public realm works. 
16/02282/OUT Phase Two includes residential at upper floors""",70,,,"02/00838/FUL   07/00061/S73 10/11534/EXT
16/02282/OUT",2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0027,,"""New Crane Street car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824927.21,-193656.3836,340067,366225,0.326,owned by a public authority,not permissioned,,,,,"""Residential development""",15,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0029,,"""Former car garage, Lower Bridge Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825191.349,-193072.0815,340660,365925,0.221,not owned by a public authority,pending decision,,,,yes,"""Mixed use scheme including 43 apartments and 5 town houses, with ground floor retail/commercial""",20,,,18/04893/FUL (pending),2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0030,,"""Garden Lane car park, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824471.531,-193408.2647,340300,366806,0.334,owned by a public authority,not permissioned,,,,,"""Residential development""",6,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0032,,"""BT Building and Newgate House, St John's Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824932.57,-192870.874,340852,366257,0.322,not owned by a public authority,not permissioned,,,,,"""Residential development""",29,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0034,,"""Loves Garage, Garden Lane, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824496.481,-193465.1857,340244,366771,0.136,not owned by a public authority,not permissioned,,,,,"""Residential development""",6,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0058,CHC/0058,"""Land at Bollands Court, Commonhall Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824990.868,-193272.2643,340437,366144,0.302,not owned by a public authority,not permissioned,,,,,"""24 town houses and apartments and ground floor shop on corner plot.""",15,,,,2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0072,,"""104 Watergate Street, Chester, CH1 2LF""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824944.697,-193580.9269,340143,366210,0.03,not owned by a public authority,not permissioned,,,,,"""Conversion of building to form nine (9) self contained flats. (2x1bed and 3x2bed flats, 4xbedsits)""",9,,,,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0100,,"""35 Eastgate Street, Chester, CH1 1LG""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824862.206,-193064.591,340654,366345,0.017,not owned by a public authority,permissioned,full planning permission,2017-06-16,,yes,"""change of use from offices to 5 apartments over three storeys""",5,,,17/01670/FUL,2018-12-30,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0120,CHC/0008,"""14 - 20 Watergate Street, Chester (within boundary of CHC/0008/H)""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824882.615,-193253.4706,340469,366301,0.098,mixed ownership,permissioned,full planning permission,2018-04-19,,yes,"""Change of use / conversion / extension to / part-demolition of for mixed-use development incorporating retail (Use Class A1) / residential (23 apartments) (Use Class C3) / food and beverage (Use Class A3).
HELAA capacity = 25 dwellings""",23,,,16/00580/FUL,2017-12-21,2018-12-30,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0163,,"""Clemence House St Werburgh Street Chester Cheshire CH1 2DY """,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824795.99,-193195.3967,340523,366411,0.032,not owned by a public authority,permissioned,full planning permission,2016-06-28,,yes,"""Conversion of 2nd and 3rd floors into 8 apartments """,8,,,16/00844/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0176,,"""Car park off Hunter Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3824703.016,-193452.3805,340264,366515,0.08,not owned by a public authority,permissioned,full planning permission,2016-09-20,,yes,"""77 self contained student units-Under construction""",70,,,15/04014/FUL,2017-12-21,2019-12-01,2019-12-01
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHC/0183,,"""Land at Volunteer Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825079.662,-193039.1555,340670,366059,0.056,not owned by a public authority,permissioned,full planning permission,2017-08-10,,yes,"""demolition of warehouse and erection of four storey building for 8 apartments""",8,,,17/02631/FUL,2018-12-30,,
,,CHC/0219,,"""Concorde House, 6 Canal Street, Chester""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,,,340291,366718,0.087,not owned by a public authority,permissioned,planning permission granted under an order,2019-02-22,,yes,"""Change of use to residential apartments""",32,,,18/03988/PDO,2019-12-01,2019-12-01,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0013,,"""White Lane Depot, White Lane, Christleton""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825613.803,-190110.1316,343635,365547,0.265,not owned by a public authority,not permissioned,,,,,"""Residential development""",7,,,,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0092,,"""The Moorings, Rowton Bridge Road, G716Christleton, CH3 7AE""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825976.057,-189432.1427,344324,365129,0.231,not owned by a public authority,permissioned,full planning permission,2013-08-02,,yes,"""Demolition of existing office buildings and erection of five (5) dwellings with associated parking and drive improvements""",5,,,13/00999/FUL,2017-12-21,,
http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester,Cheshire West and Chester Council,CHV/0126,,"""Christleton Hall, Pepper Street, Christleton, CH3 7AB""",http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,ETRS89,3825455.274,-189926.4307,343813,365754,5.14,not owned by a public authority,not permissioned,,,,,"""residential development of 42 dwellings""",,,,18/03803/FUL refused 25/01/2019,2018-12-30,2019-12-01,2019-12-01
