OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedFor PIP,MinNetDwellings,Development Description,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDweloingsRangeTo,HazardousSubstances,SiteInfomation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,AL036,,"LAND ADJACENT TO 9 CHAUNTRY ROAD, ALFORD",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3823563.91,11761.23,545262.439,375844.599,0.12,Not owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,3,,,,3,3,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,AL204,,"FORMER STRAVEN FACTORY SITE, WEST STREET, ALFORD",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3823491.20,11923.84,545422.415,375939.246,0.64,Unknown ownership,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,41,,,,41,41,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,C&T024,,"LAND TO REAR OF 98 - 102 HIGH STREET, CONINGSBY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3837012.58,-11139.42,522843.281,358416.056,0.64,Not owned by a public authority,,Permissioned,Full planning permission,2007-09-19,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,35,S/35/1217/07,,,35,35,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,HLC206,,"REAR OF  1 LOUTH ROAD, HOLTON LE CLAY",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3801916.79,-4202.18,528552.380,402360.000,0.98,Not owned by a public authority,Yes,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,19,,,,19,19,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,HOG305,,"LAND ADJ MANOR FARM, SKEGNESS ROAD, HOGSTHORPE",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3826927.90,20003.32,553618.920,371862.382,0.56,Not owned by a public authority,Yes,Permissioned,Reserved matters approval,2017-04-28,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,10,N/084/00100/17,,,10,10,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,HOR016,,"LAND TO REAR OF 10 - 12 STANHOPE ROAD, HORNCASTLE",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3827914.26,-7372.80,526290.844,369887.120,0.25,Not owned by a public authority,,Permissioned,Outline planning permission,2016-05-20,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,5,S/086/00548/16,,,5,5,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,HOR050,,"LAND AT THE WONG, HORNCASTLE",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3828343.65,-7654.95,526023.560,369343.739,0.47,Owned by a public authority,,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,Yes,12,,,,12,12,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,HOR063,,"LAND ADJ TO GREYSTONES, LINCOLN ROAD, HORNCASTLE",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3827962.84,-8288.04,525377.939,369800.570,0.29,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-09-29,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,52,S/086/01083/14,,,52,52,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO021,,"LAND OFF EVE STREET, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3813765.11,-237.14,532928.116,387729.493,0.07,Not owned by a public authority,Yes,Permissioned,Full planning permission,2012-07-19,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,4,N/105/2292/11,,,4,4,,,,2017-05-22,2017-05-22
http://opendatacommunities.org/id/district-council/east-lindsey,East Lindsey District Council,LO096,,"LAND TO REAR OF PROPERTY OFF HORTONS YARD, KIDGATE, LOUTH",http://www.e-lindsey.gov.uk/article/5521/Brownfield-Land-Register,ETRS89,3814136.64,-176.06,533002.138,387268.485,0.07,Not owned by a public authority,Yes,,,,https://publicaccess.e-lindsey.gov.uk/online-applications/search.do%3bjsessionid=4A5119EA6DAA17CB3142825C17FC4978?action=simple&searchType=Application,,2,,,,2,5,,,,2017-05-22,2017-05-22
