OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable - mandatory if yes,PlanningStatus,PermissionType - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PermissionDate -  - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PlanningHistory,ProposedForPIP - mandatory if yes,MinNetDwellings,DevelopmentDescription - mandatory where relevant,NonHousingDevelopment - mandatory where relevant,Part2 - mandatory where relevant,NetDwellingsRangeFrom - mandatory where relevant,NetDwellingsRangeTo - mandatory where relevant,Hazardous Substances - mandatory where relevant,SiteInformation - mandatory where relevant,Notes,FirstAddedDate,LastUpdatedDate,X,Y
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HABBEY304,,"6 Easton Street, High Wycombe, HP11 1NJ",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486794.0&StartNorthing=192928.92&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.747469,51.6284,0.04,not owned by a public authority,yes,permissioned,Full planning permission,2018-06-02,,,5,Change of use of existing building (use class A2) to residential (use class C3) comprising 4 x 1 bed and 1 x 2 bed flats,,,,,,,17/05813/FUL,,,486794.0,192928.92
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HABBEY322,,"89 - 90 Easton Street, High Wycombe, HP11 1LT",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486785.78&StartNorthing=192868.61&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.747603,51.6279,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2017-05-24,,,10,"Retention of office use at ground floor and raising of roof to rear element of building, conversion of the upper floors to provide 10 x 1 bed flats with associated parking and landscaping (alternative scheme to pp 16/07844/FUL)",,,,,,,17/07396/FUL,,,486785.78,192868.61
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HABBEY323,,"30 & 30a Marlow Road, High Wycombe, HP11 1TB",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485530.735&StartNorthing=191744.725&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.766004,51.618,0.08,not owned by a public authority,yes,permissioned,Full planning permission,2017-06-01,,,7,"Demolition of existing buildings and erection of single block comprising 7 x 1 bed and 2 x 2 bed apartments with internal cycle stores, bin stores, parking and associated landscaping",,,,,,,17/05169/FUL,,,485530.73,191744.73
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HABBEY331,,"Aria House, 80 Oxford Road, High Wycombe, HP11 2DX",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486087.23&StartNorthing=193415.731&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.757558,51.6329,0.42,not owned by a public authority,yes,permissioned,Full planning permission,2017-08-14,,,72,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 72 dwellings comprising of 62 studio flats, 8 x 1 bed units and 2 x 2 bed units).",,,,,,,17/06651/PNP30,,,486087.23,193415.73
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HABBEY334,,"195b, c, d, & e Desborough Avenue, High Wycombe, HP11 2TW",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485634.905&StartNorthing=192648.62&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.764279,51.6261,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2017-09-21,,,6,"Construction of part two storey, part first floor extensions with 2 x balconies to front and associated external alterations in connection with conversion of existing offices to 5 x 2 bed flats",,,,,,,17/07009/FUL,,,485634.91,192648.62
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HBOURN143,,"Unit 3, Station Court, Station Road, Bourne End",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489385.314&StartNorthing=187225.263&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.711494,51.5768,0.11,not owned by a public authority,yes,permissioned,Full planning permission,2017-09-21,,,6,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (office) to Class C3 (dwellinghouse) to create 6 dwellings",,,,,,,17/07068/PNP30,,,489385.31,187225.26
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HBOURN144,,"Land North of Comino House, Furlong Road, Bourne End",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489705.595&StartNorthing=187278.875&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.706859,51.5772,0.1,not owned by a public authority,yes,permissioned,Full planning permission,2017-10-24,,,5,"Erection of 3 storey building comprising 4 x 2 bed and 1 x 1 bed flats together with undercroft car parking, cycle parking and bin storage along with associated amenity space and landscaping",,,,,,,17/05972/FUL,,,489705.59,187278.88
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HMARSE090,,"Abbey House, 28 - 30 Chapel Street, Marlow, SL7 1DD",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485005.199&StartNorthing=186769.642&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.774797,51.5733,0.03,not owned by a public authority,yes,permissioned,Full planning permission,2017-11-27,,,6,Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to 2 x 1 bed and 4 x 2 bed flats falling within Class C3 (dwellinghouses).,,,,,,,13/07614/PAJ,,,485005.2,186769.64
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HMARSE119,,79 - 81 High Street Marlow Buckinghamshire SL7 1AB,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485053.66&StartNorthing=186369.271&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.774195,51.5697,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2017-09-22,,,7,"Erection of two storey rear extension to create enlarged retail unit at ground floor, 4 x 2-bed & 3 x 1-bed flats with undercroft parking & separate bin stores for retail and residential. Insertion of new doorway and internal staircase to listed buildin",,,,,,,16/07708/FUL,,,485053.66,186369.27
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,HOAKCA216,,2 Dashwood Avenue High Wycombe Buckinghamshire HP12 3DN,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485363.835&StartNorthing=193446.147&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.768,51.6333,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2017-08-24,,,7,"Construction of new second floor and part ground and first floor accommodation to create 7 apartments (5 x 1 bed and 2 x 2 bed) including part change of use from retail to residential, bin and cycle storage",,,,,,,17/06506/FUL,,,485363.84,193446.15
