Include_in_BFR,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B71,,"Site 4, Club, Depot & 501-509, Hawthorne Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334507&y=396497&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334509.1664,396465.7021,2.3,Not owned by a public authority,Yes,Pending permission,,07/04/2005,https://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYF8NWXB568,,100,,,,0,0,,,Planning application subject to resolution to approve subject to further details. Suitable for mixed use scheme with 100 plus dwellings. The mixed use part of the scheme would be subject to the NPPF town centre sequential and impact tests.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F142,,"Mushroom Farm, 8-10, Cable Street, Formby",http://maps.sefton.gov.uk/webmaplayers/?x=330107&y=407715&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,330145.6244,407715.4519,1.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,20/05/2009,,,5,Partly developed site.,,,0,0,,,Nearly built out but last part is long term stalled. Left over area of land capable of 5 dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,L238,,"Site of Sefton Works, Field Lane, Netherton",http://maps.sefton.gov.uk/webmaplayers/?x=333204&y=398172&resolution=2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333173.8292,398119.4188,0.85,Not owned by a public authority,Yes,Permissioned,Full planning permission,13/03/2008,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5BBP5NW01E00,,20,Previously developed site in PRA,,,0,0,Y,,Large site with permission (DC/2014/00886). Development is currently stalled. And half built. Capacity for at least 20 more dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S446,,"8, Oxford Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=332247&y=416012&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,332229.9759,416009.6977,0.24,Not owned by a public authority,Yes,Permissioned,Full planning permission,24/01/2017,,,5,,,,0,0,,,Existing approval for a care home (DC/2016/01743).,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0096,,"Former Service Station, 146, Park Lane, Netherton",http://maps.sefton.gov.uk/webmaplayers/?x=336030&y=398594&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,335981.0499,398620.5253,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,20/01/2017,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFP7RFNWMET00,Yes,3,,,,0,0,,,The figure of 10 is for flats and was approved in the recent planning application (DC/2016/02117).,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B1218,,"Former Johnsons Cleaners, Mildmay Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=333933&y=396431&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,333911.1768,396427.2931,1.81,Not owned by a public authority,Yes,Permissioned,Full planning permission,26/09/2012,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYH6NWXB476,,100,Previously developed former Johnsons Cleaners site in a residential area.,,,0,0,,,Former Johnsons site. Has permission and suitable for development. Has scope for mixed use with limited retail subject to NPPF sequential and impact tests. Minimum figure assumes a high number of apartments.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0112,,"Land w of Southport & Formby DGH, Town Lane, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=335208&y=415524&resolution=2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,335113.8097,415551.6488,4.86,Not owned by a public authority,Yes,Permissioned,Full planning permission,31/05/2013,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYEZNWXB376,,100,Redundant land at the Southport Hospital.,,,0,0,,,Southport hospital site subject to a number of approvals. Partially brownfield due to previous uses. Stalled.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0115,,"Klondyke Ph2&3, Monfa Road, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334680&y=396836&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334658.6328,396807.7842,5.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,15/07/2014,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N3B0SRNWHL700,,142,Large cleared sites in the urban area.,,,0,0,,,Local Plan allocation MN2.43. Planning permission DC/2014/00642 for 142 units.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0115,,"Sunshine House, 2, Oxford Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=332098&y=416086&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,332110.0515,416078.548,0.73,Not owned by a public authority,Yes,Permissioned,Full planning permission,20/12/2016,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUPW5JNWGQE00,,20,Former School for the Blind school building. Currently vacant.,,,0,0,,,DC/2015/01601 - residential care home. Potential for 20 plus residential apartments.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0120,,"51-53, Alexandra Road, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=334669&y=417740&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334632.5455,417729.9053,0.53,Not owned by a public authority,Yes,Permissioned,Full planning permission,10/02/2017,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG4NBSNWMJF00,,5,Vacant site in the built up area.,,,0,0,,,Approved for a care home. Partial brownfield. DC/2016/02175.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0110,,"39a, St Johns Road, Crosby",http://maps.sefton.gov.uk/webmaplayers/?x=331811&y=398456&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,331755.8354,398433.2789,0.33,Not owned by a public authority,Yes,Permissioned,Outline planning permission,17/10/2014,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N9FENUNWJ8H00,,10,,,,0,0,,,DC/2014/01354 - granted permission for 11 dwellings. Brownfield land by the railway. Former commercial uses.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0129,,"Former Dairy, 5, Marsh Brows, Formby",http://maps.sefton.gov.uk/webmaplayers/?x=329208&y=406907&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,329194.9441,406933.7157,0.11,Not owned by a public authority,Yes,Permissioned,,08/02/2018,,,5,Former dairy site.,,,0,0,,,,20/12/2018,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,B0128,,"2, Well Lane, Bootle",http://maps.sefton.gov.uk/webmaplayers/?x=334637&y=395369&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,334648.4007,395365.3771,0.23,Not owned by a public authority,Yes,Not permissioned,,07/08/2018,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5UF2GNWM3V00,,10,Former industrial premises in a predominantly residential area.,,,0,0,,,Original permission S/2011/0335 now expired. Subsequent application DC/2016/02471 refused for 14 dwellings. However likely to be suitable for a smaller number of dwellings.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,S0189,,"141b, Hart Street, Southport",http://maps.sefton.gov.uk/webmaplayers/?x=335582&y=416491&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,335591.1492,416497.3681,0.17,Not owned by a public authority,Yes,Permissioned,,25/05/2018,,,8,,,,0,0,,,,20/12/2018,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,C0145,,"CHURCH HALL 17, MERSEY ROAD, Crosby",http://maps.sefton.gov.uk/webmaplayers/?x=331460&y=399367&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,331445.4418,399359.3838,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,17/03/2015,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJ5AXKNW01B00,,5,,,,0,0,,,Approved for 5 homes (DC/2015/00167). Former church hall.,17/10/2017,20/12/2018
Y,http://opendatacommunities.org/id/metropolitan-district-council/sefton,Sefton Metropolitan Borough Council,F0172,,"AMBULANCE STATION, CHURCH ROAD, Formby",http://maps.sefton.gov.uk/webmaplayers/?x=330140&y=407196&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,OSGB36,330146.3005,407263.1714,0.12,Owned by a public authority,Yes,Not permissioned,Full planning permission,08/01/2015,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NB2HFNNWJN700,,10,,,,0,0,,,DC/2014/01573 - 10 apartments.Figure of 10 is based on apartments.,17/10/2017,20/12/2018
