LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED
SH 0613,"Rope Works, Brunswick St, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.591796/-2.2235873,385298,410603,British Coordinate Systems,0.78,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 38 properties,38,38,Unknown,05/12/2018,05/12/2018
SH 0677,"Mutual Mills (1 & 2), Mutual St, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.596106/-2.2109485,386136,411080,British Coordinate Systems,1.18,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site coulde deliver approximately 240 properties,240,240,Unknown,29/11/2017,05/12/2018
SH 0732,"Albert Jagger Ltd, Wesley Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.59265/-2.2231688,385326,410698,British Coordinate Systems,0.31,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 12 properties,12,12,Unknown,05/12/2018,05/12/2018
SH 0911,"Bamford Squash, Bamford Rd, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.597447/-2.2198397,385548,411231,British Coordinate Systems,1.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 42 properties,42,42,Unknown,29/11/2017,05/12/2018
SH 1236,"22-26 Bridge Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.594202/-2.22499,385206,410871,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1397,"Land On The Corner Of Ash St And Peel Lane, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.598149/-2.2289548,384945,411311,British Coordinate Systems,0.37,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,05/12/2018
SH 1755,"Angel Meadow Phase 2, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593321/-2.2248796,385213,410773,British Coordinate Systems,0.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 13 properties,13,13,Unknown,29/11/2017,05/12/2018
SH 1756,"Angel Meadow Phase 1, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593171/-2.2237759,385286,410756,British Coordinate Systems,0.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 34 properties,34,34,Unknown,29/11/2017,05/12/2018
SH 1955,"Former Star Works, Wham Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593823/-2.2350654,384539,410831,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 2011,"Brunswick Hotel, 19 Bridge Street, Heywood",Heywood,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.593761/-2.2252445,385189,410822,British Coordinate Systems,0.03,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
