column,count
,2277
#,1
2018 Site Reference (where changed),1
A1,2
A2,2
A3,2
A4,2
A5,2
AA,2
ALT_X_Ref,1
ALT_Y_Ref,1
AONBDPDRef,1
APGRECNO,1
AREA (HA),2
AREA(Ha),1
AREA_Ha_,1
Achieavble,1
Achievable,1
Achievable comment (Reg 4 (1)(d)),1
AchievableComment (Reg 4 (1)(d)),1
AdditionReference,4
Additional Notes,3
AdditionalNotes,3
Address,4
Address 1,1
Address 2,1
All/Part Deliverable within 5 years,1
All/part deliverable within 5 years,1
Allocated site,2
AllocatedSite,1
Allocation for housing or mixed use,2
Allocation reference,2
AllocationForHousingOrMixedUse,1
AllocationReference,1
Alt Site Reference,3
AltRef,2
Alt_Coords_X_Y,2
Alt_Ref,1
AlternateReferences,1
AlternateSiteReference,1
Alternate_CoordinateReferenceSystem,1
Alternative Reference,2
Alternative Reference 1 (Planning permission),1
Alternative Reference 2 (Local Plan PS Jan 2018),1
Alternative Reference 2 (Site Assessment),1
Alternative References,6
Alternative references,3
AlternativeReference,15
AlternativeReferences,27
App No.,1
App_No,1
Applica-tion is on Brown-field Land?,1
Application Description / Site description in SHLAA,1
Application Description/ Notes,1
Application Ref./LP Site Allocation Ref.,1
Application ref,3
ApplicationAndPolicyRef,1
Approved,1
Approved date,1
Are there known ownership or tenancy issues?,3
Area,1
Area (ha),3
Area of Land in Hectares,2
AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference,1
Authority,1
Available comment (Reg 4 (1)(c)),1
AvailableComment (Reg 4 (1)(c)),1
B1,2
B2,2
B8,2
BF_ha,1
BLR reference,1
BNG_Easting,5
BNG_Northing,5
Brownfie_1,1
Brownfield,1
Brownfield Coverage,1
Brownfield Register Reference,3
Brownfield coverage*,1
Brownfield/GreenfieldMix?,2
BrownfieldCoverage,1
C1,2
C2 (RI),2
C3 (H),2
C3 (HOP),2
C3 (SB/CB),2
CHECK - ACHIEVABLE,1
CHECK - AVAILABLE,1
CHECK - SUITABLE,1
CONSTRAINT,1
COORDINATE REFERENCE SYSTEM,5
COORDINATEREFERENCESYSTEM,7
COORDREFER,2
Capable of development?,1
Capable of housing development [in policy terms],1
Capacity max remaining,2
Capacity min remaining,2
Co-ordinate Reference System,3
Co-ordinate system,2
Column1,1
Comments,1
ConservationArea,1
Constraints,4
ConstructionStatus,4
Contraints,1
Coodinate Reference System,1
Coodinate_Reference_System,1
Coordinate,3
"Coordinate
ReferenceSystem",3
Coordinate Reference System,33
Coordinate referencing system,1
CoordinateRef. System,1
CoordinateRefSystem,1
CoordinateReference System,1
CoordinateReferenceSystem,679
CoordinateReferenceSystem2,1
CoordinateReferenceSystem3,1
CoordinateReferenceSystem_ETRS89,1
CoordinateReferenceSystem_WGS84,1
CoordinateRefernceSystem,2
Coordinates (Latitude & Longitude),1
Coordinates Ref System,2
CordinateReferenceSystem,2
CrossReference,1
Current Status,3
D1,2
D2,2
DATE ENTERED ON REGISTER,2
DATE LAST UPDATED,2
DELIVERABL,1
DELIVERABLE,10
DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,2
DEVDESCR,1
DEVELOPMENT DESCRIPTION,3
DEVELOPMENTDESCRIPTION,7
DM COMMENTS,1
DataUpdate,2
Date Entered,2
Date Entered on Part 1 of Brownfield Register,3
Date Permission Lapses,2
Date Permission Obtained,2
Date first entered on the register,1
Date granted,1
Date last updated on the register,1
DateUpdate,2
Date_Permission,1
Decision_Date,3
Deliverabl,3
Deliverable,817
Deliverable - mandatory if yes,1
Description,2
Description of Proposed Development,3
Description of the development,1
Developable area (ha),1
Developed: extant/ commc'd./ part. compltd.,1
Developmen,2
Development,1
Development Description,47
Development Status: extant/ commc'd./ part. compltd.,1
Development description,1
Development status (if site has full PP),1
DevelopmentDesciption,1
DevelopmentDescription,659
DevelopmentDescription - mandatory where relevant,1
Developmentdescription,3
Discription/Notes,1
District,1
Dwelling_Range,1
EAST,1
EASTING,21
ETRS89,4
EVENTS,1
Easting,122
Eastings,6
Eastings (Geo X),1
EffectiveDate,2
End Date,1
EndDate,99
EndReason,1
Enddate,1
Error,1
Events,4
ExpiryOfPlanningPermission,2
FID,3
FIRST ADDED DATE,3
FIRSTADDED,2
FIRSTADDEDDATE,7
Fields,2
"First
Added
Date",2
First Added,2
First Added Date,34
First Added date,3
FirstAdd,1
FirstAdded,4
"FirstAdded
Date",3
FirstAddedDate,771
FirstAddedDate1,2
FirstAddedDateBR,2
FirstDateAdded,1
Firstaddeddate,1
GEOMETRY,1
GEOX,10
GEOY,10
GF / PDL,3
GLASiteplanURL,3
Geo Latitude,2
Geo Longitude,2
Geo X,9
Geo Y,9
GeoPointLicensingURL,2
GeoX,813
GeoX (Longitude or east grid),3
GeoX [East],2
GeoX_2,1
GeoX_3,1
GeoX_ETRS89,1
GeoX_WGS84,1
GeoY,813
GeoY (Latitude or north grid),3
GeoY [North],2
GeoY_2,1
GeoY_3,1
GeoY_ETRS89,1
GeoY_WGS84,1
GlobalID,3
Grid reference easting,1
Grid reference northing,1
Gross area (ha),1
HAZARDOUS SUBSTANCES,3
HAZARDOUSSUBSTANCES,7
HAZSUB,1
HECTARES,12
HELAA 2016 ref,1
HELAA Reference,3
HELAA note,1
HELAAReference,2
HSGESTIMAT,1
Hazardous Substance[s] on site? [as identifiied in Application form],1
Hazardous Substances,30
Hazardous Substances - mandatory where relevant,1
Hazardous Substances Regs 2015,2
Hazardous Substances [as identifiied in Appl. form],1
Hazardous substances,3
HazardousS,3
HazardousSubstances,733
HazardousSubtances,2
HazourdousSubstances,2
Hectares,825
Hectares (gross),2
Housing Delivery Estimate,8
Housing Est (remaining),1
Housing Estimate (remaining),1
HousingEstimate,6
HousingSurveySiteReference,2
Hsg. No in Appl.,2
ID,2
IDOX_Reference,1
IF PERMISSIONED,2
INCLUDE,1
Id,1
IncludeInBFR,1
Include_in_BFR,1
Information Updated,2
Is the site available?,1
Is the site likely available [and/or deliverable within the next 15 yrs.]?,1
JLPPolicyReference,5
KEYVAL,1
LA SITE REF,2
LAND DELIVERABLE?,2
LAST UPDATED DATE,3
LASTUPDATE,2
LASTUPDATEDDATE,7
LATITUDE,2
LCR Ref,2
LDD_Existing_Residential_Units,2
LDD_Net_Residential_Units,2
LDD_Proposed_Residential_Units,2
LDSSiteRef,2
LOCAL AUTHORITY,2
LONGITUDE,2
LPA,2
LPA URL,1
LPA_URL,1
LPSARef,1
Label,1
Land Type,2
LandAllocationsReference,2
Lapse date,2
Last Update,2
Last Updated,4
Last Updated Date,36
Last Updated date,3
Last UpdatedDate,2
Last updated,2
Last updated date,3
LastAddedDate,3
LastUpdate,3
LastUpdateDate,4
LastUpdated,2
"LastUpdated
Date",3
LastUpdatedDate,754
LastUpdatedDate1,2
Last_updated_Date,1
Latest_MostRelevantResidentialApplication,1
Latitude,2
Local Authority,2
Local Plan Ref,2
Local Plan Site Allocation Reference / SLAA Site Reference,1
Local Plan reference/SLAA reference,2
Local authority name,1
LocalPlanPolRef,1
LocalPlanURL,1
Local_Authority,1
Location,34
Location / Address,1
Location Coordinates North South,2
Location___Address,1
Locations Coordinates East West,2
Longitude,2
MAXIMUM NET DWELLINGS,2
MIN NET DWELLINGS,3
MINHOMES,1
MINIMUM NET DWELLINGS,2
MINNETDWEL,1
MINNETDWELLINGS,7
MI_PRINX,7
MORE_INFORMATION,1
Map Weblink,2
Mapping link [Siteplan URL],1
Mapping link [SiteplanURL],1
Max dwellings,1
Maximum amount of Dwellings,3
Min Dwellings,1
Min Net Dwelling,2
Min Net Dwellings,36
Min dwellings,1
Min-Max range of Net Dwellings,2
MinDetDwellings,3
MinHomes,5
"MinNet
Dwellings",3
MinNet Dwellings,3
MinNetDwel,2
MinNetDwellings,673
MinNetDwellingsComment,4
Min_Capacity,1
Minimum Net Dwellings,2
Minimum amount of Dwellings,3
Minimum net dwellings,1
NAME AND ADDRESS OF SITE,2
NET CHANGE; units developed so far,2
NET DWELLINGS RANGE FROM,3
NET DWELLINGS RANGE TO,3
NETDWELLINGSRANGEFROM,7
NETDWELLINGSRANGETO,7
NETRANGEFR,1
NETRANGETO,1
NON HOUSING DEVELOPMENT,3
NONHOUSING,1
NONHOUSINGDEVELOPMENT,7
NORTH,1
NORTHING,21
NOTES,12
Name of Local Authority,2
"Net
Dwellings
Range
From",2
"Net
Dwellings
Range
To",2
Net DwelingsRangeFrom,3
Net Dwellings Range From,30
Net Dwellings Range To,26
Net Dwellings RangeTo,2
Net dwelling range from?,1
Net dwelling range to,1
Net dwellings,2
Net dwellings Range From,1
Net dwellings range From,2
Net dwellings range To,2
NetDwell00,2
NetDwell_1,1
NetDwellin,3
NetDwellingRangeTo,2
NetDwellingsRangeForm,7
NetDwellingsRangeFrom,741
NetDwellingsRangeFrom - mandatory where relevant,1
NetDwellingsRangeFromComment,4
NetDwellingsRangeTo,734
NetDwellingsRangeTo - mandatory where relevant,1
NetDwellingsRangeToComment,4
NetDwellingsRangeto,7
NetDwellingsrangeTo,1
NetDwelllingsRangeTo,4
NetDweloingsRangeTo,2
Netdwellingrangefrom,1
Netdwellingrangeto,1
New Dwellings Range to,3
NewDwellingsRangeFrom,1
NewDwellingsRangeTo,1
NewToSHLAA,2
No. of dwellings granted (net),1
Non Housing Development,31
Non housing Development,2
Non housing development,1
Non-Housing Development,2
Non-Housing development,1
Non-housing development,5
NonHousing,2
NonHousing Development,5
NonHousing development,3
NonHousingDeveloment,2
NonHousingDevelopemnt,1
NonHousingDevelopment,660
NonHousingDevelopment - mandatory where relevant,1
Non_Resi_Dev,1
Northing,121
Northings,7
Northings (Geo Y),1
Note,1
Notes,809
Notes UPRN for sites,1
Notes.1,1
OBJECTID,11
OPEN DATA WEBSITE,2
ORGANISATI,2
ORGANISATION LABEL,3
ORGANISATION URL,3
ORGANISATIONLABEL,7
ORGANISATIONURI,7
ORGANISA_1,2
OS map reference [OSGB 1936 ? British National Grid],1
OSEasting,2
OSGB36,2
OSGB36 Easting,1
OSGB36 Easting OSGB36 Northing,1
OSGB36 Northing,1
OSGB36Easting,2
OSGB36Northing,2
OSNorthing,2
OSReferenceSystem,2
OWNERS,1
OWNERSHIP,2
OWNERSHIP STATUS,5
OWNERSHIPSTATUS,7
ObjectId,1
OragisationLabel,1
Org. Label,1
Org. URI,1
OrgLabel,2
OrgURL,2
OrgainisationURL,1
Organisati,1
Organisation,1
"Organisation
Label",1
Organisation Label,38
Organisation URI,25
Organisation URL,13
Organisation Uri,2
Organisation label,1
OrganisationLabel,681
OrganisationURI,767
OrganisationURL,14
OrganisationURl,3
OrganisationUrI,1
Organisational Label,1
Organisational URI,2
OrganisationalLabel,2
OrganistionLabel,2
OrganistionURI,2
OrgansiationLabel,1
OrgansiationURI,1
Other,2
Other reference,1
Other.1,2
OtherNotes,2
OtherSiteInformation,2
OtherSiteReferences,3
Outstanding development,2
OwenrshipStatus,1
Owners,9
Owners (if known),2
Owners (if public sector or HA),3
Ownership,3
Ownership 2,2
Ownership Information,3
Ownership Status,47
Ownership status,4
"Ownership: PA_owner, not PA_own., mixed_o'ship, unknown",1
OwnershipS,3
OwnershipStatus,777
Ownership_Status,1
Ownership_Status: PA_owned [Public Autho-rity]; not PA_owned; mix. ownership; unknown,1
PA1Status,3
PA2MapNumber,1
PA2Ward,2
PA3MapNumber,2
PART 2,4
PART2,8
PDL area on the site (hectares),1
PERMDATE,1
PERMISSION DATE,3
PERMISSION TYPE,3
PERMISSIONDATE,7
PERMISSIONTYPE,7
PERMTYPE,1
PLAN OF SITE,2
PLANHISTOR,2
PLANNING HISTORY,3
PLANNING STATUS,5
PLANNINGAPPLICATIONREF,1
PLANNINGHISTORY,7
PLANNINGSTATUS,7
PLANNINGSTATUSEXTRA1,1
PLANNINGSTATUSEXTRA2,1
PLANSTATUS,2
PPRN,5
PREVIOUSLY,1
PREVIOUSLY PART OF,3
PREVIOUSLYPARTOF,7
PROPFORPIP,1
PROPOSED FOR PIP,3
PROPOSEDFORPIP,7
Parish,8
Part 2,35
Part2,646
Part2 - mandatory where relevant,1
Part2allocation,2
PermiDate,2
PermiType,2
PermisionType,4
Permissi_1,1
Permission,1
"Permission
Date",1
Permission Date,47
Permission History,1
Permission Type,43
Permission Types as req. by Gov.,1
Permission Types as required in BFLR,1
Permission date,1
Permission type,2
PermissionDate,762
PermissionDate -  - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,1
PermissionDate1,2
PermissionDatePlanningHistory,1
PermissionHistory,4
PermissionTyne,2
PermissionType,768
PermissionType - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,1
PeviouslyPartof,1
Plan,1
PlanPermission,5
Plan_Status: permissd. / pending / no app.,1
Plan_Status: permissd. / pending / no application,1
Planning Application Link,1
Planning Application Number,1
Planning Application Number and link to documents,1
Planning Application Reference,1
Planning History,46
Planning History URL,1
Planning History link,2
Planning Permission,1
Planning Permission Status,2
Planning Reference,1
Planning Reference Number,1
Planning Status,53
Planning application Reference,1
Planning history,2
Planning ref,3
Planning status,2
PlanningA1,2
PlanningA2,2
PlanningAppNumber,4
PlanningApplicationReference,2
PlanningAu,2
PlanningAuthority,7
PlanningAuthority1,15
PlanningAuthority2,15
PlanningAuthority3,15
PlanningHi,3
PlanningHistory,753
PlanningHistory (URL),1
PlanningHistoryURL,1
PlanningReference,7
PlanningSt,4
PlanningStatus,776
Planning_Status,2
Planning_Status_Reference,2
Planningapplicationreference,1
Polygon,2
Postcode,3
Potential Housing Capacity (Min) (Gross),2
Potential Housing Capcity (Max) (Gross),2
PrevBLRRef,1
PrevSHLAARef,1
Previous Use,2
PreviousReference,2
Previously,2
Previously Part Of,31
Previously Part of,1
Previously PartOf,2
Previously part of,3
PreviouslyPartOf,651
PreviouslyPartof,5
Primary Source of Identification at DATE,2
Progress,1
PropUse,1
Proposed For PIP,24
Proposed For PiP,3
Proposed ForPIP,2
Proposed Use,2
Proposed for PIP,8
Proposed for PiP,4
ProposedFo,2
ProposedFor PIP,2
ProposedForPIP,612
ProposedForPIP - mandatory if yes,1
ProposedForPiP,7
Proposed_U,1
ProposedforPIP,33
Publisher Label,5
Publisher URI,5
Publisher URL,1
PublisherLabel,4
PublisherURI,4
REFVAL,1
Reference,5
Reference System,1
Reference_System,1
Register_Date,1
Residential Development Description,2
RowNumber,1
SCALE OF NON HOUSING DEVELOPMENT,2
SCC_Regeneration,1
SCC_SubArea,1
SCC_Ward,1
SHAPE_AREA,2
SHAPE_LEN,2
SHELAACrossReference,1
SHELAARef,3
SHLAA 2012 Reference,1
SHLAA reference,1
SHLAA&Local Allocation ref,1
SHLAA2018_Achievable,1
SHLAA2018_Available,1
SHLAA2018_Capacity,1
SHLAA2018_Suitable,1
SHLAA2018_Timescale,1
SHLAARef,5
SHLAAReference,8
SHLAASiteRef,2
SHLAA_CapacityApprox,1
SHLAA_Constrained_Total,2
SHLAA_REF,1
SITE INFORMATION,3
SITE NAME ADDRESS,3
SITE PLAN URL,3
SITE REFERENCE,3
SITEINFORM,1
SITEINFORMATION,7
SITENAME,2
SITENAMEADDRESS,7
SITEPLANUR,1
SITEPLANURL,8
SITEREF,1
SITEREFERENCE,7
SIteInformation,1
SIteReference,3
SOURCE,4
STATUS,2
Settlement,6
ShapeSTArea,4
ShapeSTLength,4
Shape_Area,3
Shape_Length,3
Shape_STArea__,1
Shape_STLength__,1
Site Address,5
Site Area in ha,2
Site Areaha [0.25ha min],1
Site Information,35
Site Information / constrains,1
Site Information3,1
Site Name,5
Site Name & Address,2
Site Name Address,34
"Site Name, Address",1
"Site Name, Address, Postcode",1
Site Plan,1
Site Plan URL,23
Site Ref,3
Site Ref.,1
Site Reference,51
Site UPRN,1
Site URL,1
Site Yes (within 5 years),2
Site area (ha),1
Site coordinate,1
Site information,1
Site name/address,1
Site part of SHLAA [2012 Reference],1
Site plan (url),1
Site plan URL,6
Site reference,1
Site status,8
SiteAddress,4
SiteAreasqm,3
SiteInfo,1
SiteInfomation,2
SiteInform,2
SiteInformation,643
SiteInformation - mandatory where relevant,1
SiteInformation1,1
SiteInformation2,1
SiteName,5
SiteName Address,2
SiteName/Address,1
SiteNameAd,3
SiteNameAddress,779
SiteNameAddresss,1
SitePlanURL,80
SitePlanURL CoordinateReferenceSystem,1
SiteProforma,3
