field,value,count
HazardousSubstances,"",60130
HazardousSubstances,No,336
HazardousSubstances,yes,126
HazardousSubstances,Yes,77
HazardousSubstances,Unknown,54
HazardousSubstances,Y,29
HazardousSubstances,no,22
HazardousSubstances,Expired,4
HazardousSubstances,YES,2
HazardousSubstances,Potentially subject to broken glass,1
HazardousSubstances,Possible diesel fuel pollution,1
HazardousSubstances,Hazardous Substances,1
HazardousSubstances,9,1
HazardousSubstances,7,1
HazardousSubstances,6,1
HazardousSubstances,10,1
