count,name
18767,
689,Hectares
681,Deliverable
679,Notes
679,GeoY
678,GeoX
653,SiteNameAddress
650,PlanningStatus
650,FirstAddedDate
648,OwnershipStatus
645,PermissionType
645,OrganisationURI
642,SiteReference
638,PermissionDate
633,LastUpdatedDate
625,PlanningHistory
623,NetDwellingsRangeFrom
616,NetDwellingsRangeTo
615,HazardousSubstances
579,OrganisationLabel
579,CoordinateReferenceSystem
576,MinNetDwellings
575,SiteplanURL
563,DevelopmentDescription
562,NonHousingDevelopment
557,PreviouslyPartOf
550,Part2
549,SiteInformation
525,ProposedForPIP
90,Northing
88,Easting
73,EndDate
70,SitePlanURL
42,Site Reference
42,Development Description
40,Planning History
40,Ownership Status
39,Planning Status
39,Permission Date
36,Permission Type
33,Organisation Label
32,Part 2
31,Min Net Dwellings
31,Last Updated Date
30,Site Information
30,ProposedforPIP
30,First Added Date
26,Site Name Address
26,Previously Part Of
26,Coordinate Reference System
25,Non Housing Development
25,Net Dwellings Range From
25,Hazardous Substances
22,Site Plan URL
22,Organisation URI
21,Net Dwellings Range To
21,AlternativeReferences
20,Proposed For PIP
16,UPRN
16,NORTHING
16,Location
16,EASTING
15,AlternativeReference
12,Organisation URL
11,PlanningAuthority3
11,PlanningAuthority2
11,PlanningAuthority1
11,OrganisationURL
11,NOTES
11,HECTARES
10,OBJECTID
9,PlanningHistory 
9,Owners
9,GEOY
9,Geo Y
9,GEOX
9,Geo X
9,DELIVERABLE
8,Source
8,SITEPLANURL
8,Siteplan URL
8,Proposed for PIP
8,PART2
7,SITEREFERENCE
7,SITENAMEADDRESS
7,SITEINFORMATION
7,SHLAAReference
7,PROPOSEDFORPIP
7,PREVIOUSLYPARTOF
7,PLANNINGSTATUS
7,PlanningStatus 
7,PlanningReference
7,PLANNINGHISTORY
7,PERMISSIONTYPE
7,PERMISSIONDATE
7,Parish
7,OWNERSHIPSTATUS
7,OwnershipStatus 
7,ORGANISATIONURI
7,ORGANISATIONLABEL
7,NONHOUSINGDEVELOPMENT
7,NETDWELLINGSRANGETO
7,NETDWELLINGSRANGEFROM
7,MINNETDWELLINGS
7,LASTUPDATEDDATE
7,HAZARDOUSSUBSTANCES
7,FIRSTADDEDDATE
7,Easting 
7,DEVELOPMENTDESCRIPTION
7,COORDINATEREFERENCESYSTEM
6,Site status
6,Settlement
6,PlanningAuthority
6,Notes 
6,Northings
6,MI_PRINX
6,HousingEstimate
6,Housing Delivery Estimate
6,Deliverable 
5,SiteReference 
5,Site plan URL
5,Siteplan
5,SiteName
5,Site Address 
5,Reference
5,Publisher URI
5,Publisher Label
5,ProposedForPiP
5,NonHousing Development
5,Non-housing development
5,NetDwellingsRangeto
5,NetDwellingsRangeForm
5,MinHomes
5,Hectares 
5,Eastings
5,Date
5,CoordinateReferenceSystem 
5,Alternative References
4,Ward
4,Status
4,SiteplanURL 
4,SiteNameAddress 
4,SiteAddress
4,ShapeSTLength
4,ShapeSTArea
4,Range
4,PreviouslyPartof
4,PLANNING STATUS
4,Planning Status 
4,PlanningAppNumber
4,PermissionType 
4,PermissionHistory
4,PermissionDate 
4,OWNERSHIP STATUS
4,OrganisationLabel 
4,Northing 
4,NonHousingDevelopment 
4,NetDwelllingsRangeTo
4,Net
4,LastUpdatedDate 
4,Last Updated
4,JLPPolicyReference
4,Events
4,Dwellings
4,COORDINATE REFERENCE SYSTEM
4,ConstructionStatus
4,Constraints
4,BNG_Northing
4,BNG_Easting
4,AdditionReference
3,Ward Name
3,Type of Permission 
3,SOURCE
3,SiteReference (also SHLAA Reference)
3,SIteReference
3,Site Ref
3,Site Name
3,SiteAreasqm
3,SHLAARef
3,Proposed for PiP
3,Previously part of
3,PPRN
3,Postcode
3,PlanPermission
3,PlanningSt
3,Planning ref
3,PermisionType
3,PART 2
3,PA1Status
3,Ownership status
3,Ownership Information
3,Ownership
3,OtherSiteReferences
3,OSGB36
3,NonHousing development
3,New Dwellings Range to
3,NetDwellingsRangeToComment
3,NetDwellingsRangeFromComment
3,MinNetDwellingsComment
3,MinNet Dwellings
3,Minimum amount of Dwellings
3,MinDetDwellings
3,Maximum amount of Dwellings
3,Last Updated date
3,Last updated date
3,LastUpdateDate
3,LastAddedDate
3,Hazardous substances
3,GlobalID
3,GLASiteplanURL
3,GF / PDL
3,GeoY (Latitude or north grid)
3,GeoX (Longitude or east grid)
3,First Added date
3,FirstAdded
3,FID
3,Error
3,Description of Proposed Development
3,Date Entered on Part 1 of Brownfield Register
3,Current Status
