count,name
18740,
1,#
1,0.28
2,01/12/2017
1,04/10/2016
1,120125
1,419779
1,7
1,"<?xml version=""1.0"" encoding=""UTF-8""?>"
2,A1
2,A2
2,A3
2,A4
2,A5
2,AA
1,ALT_X_Ref
1,ALT_Y_Ref
1,AONBDPDRef
1,APGRECNO
2,AREA (HA)
1,AREA(Ha)
1,AREA_Ha_
1,Achieavble
1,Achievable
1,Achievable comment (Reg 4 (1)(d))
4,AdditionReference
3,Additional Notes
2,AdditionalNotes
4,Address
1,All/Part Deliverable within 5 years
1,All/part deliverable within 5 years
2,Allocated site
1,AllocatedSite
2,Allocation for housing or mixed use
2,Allocation reference
1,AllocationForHousingOrMixedUse
1,AllocationReference
3,Alt Site Reference
2,AltRef
1,Alt_Coords_X_Y
1,Alt_Ref
1,AlternateReferences
1,AlternateSiteReference
1,Alternate_CoordinateReferenceSystem
2,Alternative Reference
1,Alternative Reference 1 (Planning permission)
1,Alternative Reference 2 (Local Plan PS Jan 2018)
1,Alternative Reference 2 (Site Assessment)
6,Alternative References
1,Alternative references
15,AlternativeReference
22,AlternativeReferences
1,App No.
1,App_No
1,Applica-tion is on Brown-field Land?
1,Application Description / Site description in SHLAA
1,Application Description/ Notes
1,Application Ref./LP Site Allocation Ref.
2,Application ref
1,ApplicationAndPolicyRef
1,Approved
1,Approved date
3,Are there known ownership or tenancy issues?
1,Area
3,Area (ha)
2,Area of Land in Hectares
1,AreaOfOutstandingNaturalBeautyDevelopmentPlanDocumentReference
1,Authority
1,Available comment (Reg 4 (1)(c))
2,B1
2,B2
2,B8
1,BF_ha
4,BNG_Easting
4,BNG_Northing
1,Brownfie_1
1,Brownfield
1,Brownfield Coverage
1,Brownfield Land Register 2018
1,Brownfield Land Register 2019
3,Brownfield Register Reference
1,Brownfield coverage*
2,Brownfield/GreenfieldMix?
1,BrownfieldCoverage
2,C1
2,C2 (RI)
2,C3 (H)
2,C3 (HOP)
2,C3 (SB/CB)
1,CHECK - ACHIEVABLE
1,CHECK - AVAILABLE
1,CHECK - SUITABLE
1,CONSTRAINT
4,COORDINATE REFERENCE SYSTEM
7,COORDINATEREFERENCESYSTEM
2,COORDINATES
2,COORDREFER
1,Capable of development?
1,Capable of housing development [in policy terms]
2,Capacity max remaining
2,Capacity min remaining
3,Co-ordinate Reference System
2,Co-ordinate system
1,Comments
1,ConservationArea
4,Constraints
4,ConstructionStatus
1,Contraints
1,Coodinate Reference System
1,Coodinate_Reference_System
3,Coordinate
1,"Coordinate
ReferenceSystem"
27,Coordinate Reference System
1,CoordinateRef. System
1,CoordinateRefSystem
1,CoordinateReference System
587,CoordinateReferenceSystem
1,CoordinateReferenceSystem2
1,CoordinateReferenceSystem3
1,CoordinateReferenceSystem_ETRS89
1,CoordinateReferenceSystem_WGS84
2,CoordinateRefernceSystem
1,Coordinates (Latitude & Longitude)
2,Coordinates Ref System
2,CordinateReferenceSystem
1,CrossReference
3,Current Status
2,D1
2,D2
2,DATE ENTERED ON REGISTER
2,DATE LAST UPDATED
1,DELIVERABL
9,DELIVERABLE
2,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT
1,DEVDESCR
2,DEVELOPMENT DESCRIPTION
7,DEVELOPMENTDESCRIPTION
1,DM COMMENTS
1,DataUpdate
1,Date Added
2,Date Entered
3,Date Entered on Part 1 of Brownfield Register
2,Date Permission Lapses
2,Date Permission Obtained
2,DateUpdate
1,Date_Permission
2,Decision_Date
2,Deliverabl
690,Deliverable
1,Deliverable - mandatory if yes
1,Description
3,Description of Proposed Development
1,Developable area (ha)
1,Developed: extant/ commc'd./ part. compltd.
1,Developmen
42,Development Description
1,Development Status: extant/ commc'd./ part. compltd.
1,Development description
1,Development status (if site has full PP)
1,DevelopmentDesciption
568,DevelopmentDescription
1,DevelopmentDescription - mandatory where relevant
2,Developmentdescription
1,Discription/Notes
1,District
1,Dwelling_Range
1,EAST
16,EASTING
2,ETRS89
1,EVENTS
95,Easting
5,Eastings
1,Eastings (Geo X)
2,EffectiveDate
74,EndDate
1,EndReason
1,Enddate
3,Error
4,Events
2,ExpiryOfPlanningPermission
3,FID
2,FIRST ADDED DATE
2,FIRSTADDED
7,FIRSTADDEDDATE
2,Fields
2,"First
Added
Date"
2,First Added
30,First Added Date
3,First Added date
1,FirstAdd
3,FirstAdded
1,"FirstAdded
Date"
654,FirstAddedDate
2,FirstAddedDate1
2,FirstAddedDateBR
1,FirstDateAdded
1,Firstaddeddate
9,GEOX
9,GEOY
3,GF / PDL
3,GLASiteplanURL
2,Geo Latitude
2,Geo Longitude
9,Geo X
9,Geo Y
2,GeoPointLicensingURL
682,GeoX
3,GeoX (Longitude or east grid)
2,GeoX [East]
1,GeoX_2
1,GeoX_3
1,GeoX_ETRS89
1,GeoX_WGS84
682,GeoY
3,GeoY (Latitude or north grid)
2,GeoY [North]
1,GeoY_2
1,GeoY_3
1,GeoY_ETRS89
1,GeoY_WGS84
3,GlobalID
1,Grid reference easting
1,Grid reference northing
1,Gross area (ha)
2,HAZARDOUS SUBSTANCES
7,HAZARDOUSSUBSTANCES
1,HAZSUB
11,HECTARES
1,HELAA 2016 ref
1,HELAA Reference
1,HELAA note
2,HELAAReference
1,HSGESTIMAT
1,Hazardous Substance[s] on site? [as identifiied in Application form]
26,Hazardous Substances
1,Hazardous Substances - mandatory where relevant
2,Hazardous Substances Regs 2015
1,Hazardous Substances [as identifiied in Appl. form]
3,Hazardous substances
2,HazardousS
618,HazardousSubstances
2,HazardousSubtances
2,HazourdousSubstances
697,Hectares
2,Hectares (gross)
6,Housing Delivery Estimate
1,Housing Est (remaining)
1,Housing Estimate (remaining)
6,HousingEstimate
2,HousingSurveySiteReference
2,Hsg. No in Appl.
2,ID
1,IDOX_Reference
2,IF PERMISSIONED
1,INCLUDE
1,Id
1,IncludeInBFR
1,Include_in_BFR
2,Information Updated
1,Is the site available?
1,Is the site likely available [and/or deliverable within the next 15 yrs.]?
4,JLPPolicyReference
1,KEYVAL
2,LA SITE REF
2,LAND DELIVERABLE?
2,LAST UPDATED DATE
2,LASTUPDATE
7,LASTUPDATEDDATE
2,LATITUDE
2,LDD_Existing_Residential_Units
2,LDD_Net_Residential_Units
2,LDD_Proposed_Residential_Units
2,LDSSiteRef
2,LLDC1
2,LLDC2
1,LLDC3
2,LOCAL AUTHORITY
2,LONGITUDE
2,LPA
1,LPA URL
1,LPA_URL
1,LPSARef
1,Label
2,Land Type
2,LandAllocationsReference
2,Lapse date
2,Last Update
4,Last Updated
31,Last Updated Date
3,Last Updated date
2,Last UpdatedDate
2,Last updated
3,Last updated date
3,LastAddedDate
2,LastUpdate
3,LastUpdateDate
2,LastUpdated
